hockeyRef,name,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so,stats/toughness,stats/dstat,stats/gstat
guentdy01,"no-name",UTA,RW,10,5,6,6,7,1,0,4,4,4,37,4,11,184,1,10,,,,,,,17,1.1333333333333337,0
jarvise01,"no-name",CAR,C,8,7,4,2,3,1,1,4,7,8,31,4,6,159,3,4,,,,,,,8,8.3,0
lehkoar01,"no-name",COL,LW,10,4,7,0,9,0,0,0,0,1,24,8,6,198,1,8,,,,,,,6,7.6,0
makarca01,"no-name",COL,D,10,3,8,6,11,0,0,1,0,0,28,18,9,253,5,8,,,,,,,15,27.65,0
marchbr03,"no-name",FLA,LW,10,5,6,12,-3,1,0,1,0,1,34,1,10,183,1,8,,,,,,,22,0.09999999999999964,0
nugenry01,"no-name",EDM,C,10,5,6,4,-6,2,0,0,29,41,19,1,5,186,1,5,,,,,,,9,3.2,0
rantami01,"no-name",DAL,RW,9,4,7,14,0,2,0,1,3,6,23,6,10,191,1,7,,,,,,,24,6.366666666666666,0
wilsoto01,"no-name",WSH,RW,9,5,6,4,3,3,0,0,1,4,21,3,27,178,3,8,,,,,,,31,3.9333333333333336,0
ahose01,"no-name",CAR,F,8,4,6,4,2,0,0,0,68,74,19,4,14,164,2,14,,,,,,,18,-2.533333333333333,0
caufico01,"no-name",MTL,RW,10,7,3,2,5,1,0,2,0,3,26,3,13,184,4,7,,,,,,,15,6.133333333333334,0
guentja01,"no-name",TBL,C,9,4,6,4,0,0,0,0,13,16,34,6,1,197,3,12,,,,,,,5,3.5666666666666664,0
johnswy01,"no-name",DAL,C,9,6,4,2,0,3,0,1,62,58,30,12,5,189,1,10,,,,,,,7,9.3,0
kniesma01,"no-name",TOR,LW,9,2,8,6,1,1,0,0,0,0,21,7,24,185,4,9,,,,,,,30,8.166666666666668,0
marnemi01,"no-name",VEG,RW,9,2,8,2,8,1,0,0,4,1,14,5,6,186,3,10,,,,,,,8,4.2,0
stromdy01,"no-name",WSH,C,9,2,8,2,5,0,0,0,86,66,16,5,3,146,3,8,,,,,,,5,4.866666666666666,0
brazeju01,"no-name",PIT,F,9,5,4,0,2,1,0,2,0,0,15,10,14,119,0,10,,,,,,,14,3.966666666666667,0
carlsle01,"no-name",ANA,C,8,3,6,2,2,0,0,1,46,59,23,5,0,153,2,6,,,,,,,2,6.1,0
cozendy01,"no-name",OTT,C,9,6,3,2,-8,3,0,0,49,35,26,5,30,157,0,6,,,,,,,32,4.233333333333333,0
demidiv01,"no-name",MTL,RW,10,2,7,6,3,0,0,1,0,0,9,3,3,139,5,12,,,,,,,9,0.6333333333333337,0
eklunwi01,"no-name",SJS,LW,9,4,5,0,-9,2,0,0,0,4,26,7,7,174,3,14,,,,,,,7,1.7999999999999998,0
hischni01,"no-name",NJD,C,9,2,7,2,4,0,0,0,101,86,19,13,1,183,4,11,,,,,,,3,12.1,0
horvabo01,"no-name",NYI,C,8,5,4,2,6,2,1,1,90,68,28,3,6,169,0,8,,,,,,,8,0.6333333333333337,0
hutsola01,"no-name",MTL,D,10,1,8,0,2,0,0,1,0,0,14,16,7,225,3,14,,,,,,,7,16.25,0
nazarfr01,"no-name",CHI,C,9,4,5,6,5,1,0,1,59,72,16,8,9,176,7,13,,,,,,,15,7.866666666666666,0
oreilry01,"no-name",NSH,C,10,5,4,0,-1,1,1,2,93,74,17,9,4,196,7,7,,,,,,,4,15.533333333333333,0
peterjo01,"no-name",UTA,RW,10,3,6,4,9,0,0,1,1,4,16,3,1,162,5,13,,,,,,,5,0.40000000000000036,0
pintosh01,"no-name",OTT,C,9,8,1,8,2,0,0,1,60,46,30,6,5,170,4,5,,,,,,,13,10.666666666666668,0
protaal01,"no-name",WSH,C,9,4,5,0,5,0,0,1,1,7,19,5,3,167,1,10,,,,,,,3,1.5666666666666664,0
roberja01,"no-name",DAL,LW,9,3,6,0,1,2,0,0,0,0,39,5,7,184,4,12,,,,,,,7,3.1333333333333337,0
terrytr01,"no-name",ANA,C,8,3,6,0,5,0,0,1,1,0,18,1,0,142,1,5,,,,,,,0,1.7333333333333334,0
vorondi01,"no-name",CBJ,LW,8,5,4,10,8,1,0,0,1,3,17,1,19,127,0,3,,,,,,,29,2.2333333333333334,0
zachapa01,"no-name",BOS,C,10,2,7,8,2,0,0,0,46,32,13,5,12,181,3,12,,,,,,,20,2.033333333333333,0
barbaiv01,"no-name",VEG,C,9,3,5,0,5,0,0,0,0,3,13,1,16,137,2,11,,,,,,,16,-3.4333333333333336,0
bedarco01,"no-name",CHI,C,9,3,5,10,2,1,0,0,31,45,25,2,5,197,4,12,,,,,,,15,0.5666666666666664,0
buiumze01,"no-name",MIN,D,10,2,6,2,-8,1,0,0,0,0,15,4,2,200,2,13,,,,,,,4,3,0
byfiequ01,"no-name",LAK,C,10,2,6,8,-3,1,0,0,78,98,24,4,14,196,7,8,,,,,,,22,9.533333333333333,0
coutuse01,"no-name",PHI,C,8,2,6,6,1,0,0,1,85,70,14,6,9,157,4,9,,,,,,,15,6.233333333333333,0
debrial01,"no-name",DET,RW,9,1,7,0,-1,0,0,0,0,3,34,4,1,159,1,6,,,,,,,1,4.3,0
dorofpa01,"no-name",VEG,LW,9,7,1,4,1,4,0,1,0,0,24,5,4,156,0,8,,,,,,,8,2.2,0
eberljo01,"no-name",SEA,RW,9,4,4,4,4,0,0,1,5,2,23,5,11,173,2,10,,,,,,,15,2.7666666666666666,0
fialake01,"no-name",LAK,LW,10,5,3,4,-3,1,0,1,0,5,30,2,7,179,3,16,,,,,,,11,-5.033333333333333,0
finniem01,"no-name",DET,C,9,4,4,0,7,0,0,0,1,3,17,7,25,146,8,7,,,,,,,25,12.866666666666667,0
geekimo01,"no-name",BOS,C,10,6,2,4,-2,0,0,1,12,6,19,2,20,186,3,7,,,,,,,24,4.2,0
granlmi01,"no-name",ANA,C,8,2,6,4,2,1,0,0,67,62,19,3,3,138,3,6,,,,,,,7,4.6,0
harleth01,"no-name",DAL,D,9,1,7,6,-3,0,0,0,0,0,10,29,5,208,4,10,,,,,,,11,33.4,0
hedmavi01,"no-name",TBL,D,9,0,8,0,2,0,0,0,0,0,15,20,5,218,3,13,,,,,,,5,20.9,0
hintzro01,"no-name",DAL,LW,8,1,7,2,-1,0,0,0,76,69,28,5,4,152,0,8,,,,,,,6,2.0666666666666664,0
kucheni01,"no-name",TBL,RW,7,3,5,2,-8,1,0,1,0,0,19,1,2,147,2,13,,,,,,,4,-5.1,0
leean01,"no-name",NYI,LW,8,2,6,4,3,0,0,1,6,3,23,7,10,115,1,3,,,,,,,14,8.833333333333334,0
manthan01,"no-name",PIT,RW,9,4,4,0,3,0,0,0,1,4,19,5,5,132,2,10,,,,,,,5,1.4000000000000004,0
marchki01,"no-name",CBJ,RW,8,5,3,4,6,1,0,2,0,0,32,6,8,152,3,9,,,,,,,12,5.066666666666666,0
matthau01,"no-name",TOR,C,9,5,3,4,4,1,0,2,97,64,35,21,8,200,4,15,,,,,,,12,16.666666666666668,0
meierti01,"no-name",NJD,RW,9,3,5,4,5,1,0,1,7,6,23,5,16,161,4,9,,,,,,,20,5.366666666666666,0
merceda01,"no-name",NJD,C,9,3,5,4,7,1,0,1,17,25,15,13,7,165,1,8,,,,,,,11,11.5,0
orlovdm01,"no-name",SJS,D,9,0,8,12,2,0,0,0,0,0,12,10,18,208,2,18,,,,,,,30,4.4,0
petteel01,"no-name",VAN,C,10,3,5,2,3,1,0,0,88,115,17,23,12,188,3,9,,,,,,,14,23.266666666666666,0
rakelri01,"no-name",PIT,RW,9,3,5,2,1,1,0,0,1,5,17,10,9,159,3,4,,,,,,,11,14.3,0
rossima01,"no-name",MIN,C,9,2,6,0,-7,0,0,0,62,64,16,5,4,165,2,8,,,,,,,4,4.5,0
schwaja01,"no-name",SEA,C,9,4,4,4,3,1,0,1,5,3,16,9,18,154,8,15,,,,,,,22,7.133333333333334,0
sergami01,"no-name",UTA,D,10,2,6,10,5,1,0,0,0,0,19,20,2,247,1,19,,,,,,,12,14.35,0
smithwi01,"no-name",SJS,C,9,2,6,6,-1,0,0,1,1,5,19,5,6,158,1,13,,,,,,,12,-1.7333333333333334,0
teravte01,"no-name",CHI,F,9,1,7,0,6,0,0,0,2,4,11,4,5,168,3,14,,,,,,,5,-1.4000000000000004,0
thompta01,"no-name",BUF,C,9,4,4,10,-4,1,0,0,27,27,37,5,17,171,8,9,,,,,,,27,9.7,0
zegratr01,"no-name",PHI,C,8,2,6,6,5,1,0,0,15,20,11,2,5,134,2,8,,,,,,,11,0.4666666666666668,0
barzama01,"no-name",NYI,C,8,2,5,6,4,0,0,0,31,62,15,9,3,170,3,11,,,,,,,9,6.666666666666667,0
bathedr01,"no-name",OTT,C,6,2,5,2,-1,1,0,0,0,0,12,2,8,96,4,6,,,,,,,10,3.2,0
bensoza01,"no-name",BUF,LW,6,0,7,6,3,0,0,0,1,1,15,4,3,116,4,6,,,,,,,9,5.866666666666667,0
carlsjo01,"no-name",WSH,D,9,2,5,2,0,0,0,0,0,0,23,14,6,209,7,15,,,,,,,8,16.45,0
cirelan01,"no-name",TBL,C,9,5,2,4,2,2,0,1,97,82,16,7,8,175,5,6,,,,,,,12,11.833333333333332,0
dahlira01,"no-name",BUF,D,9,0,7,8,-8,0,0,0,0,0,23,8,9,221,4,23,,,,,,,17,0.05000000000000071,0
donatry01,"no-name",CHI,C,9,5,2,6,3,1,0,2,11,10,22,2,10,141,2,6,,,,,,,16,2.7,0
ekmanol01,"no-name",TOR,D,9,1,6,8,2,0,0,0,0,0,12,10,13,182,2,13,,,,,,,21,8.1,0
eriksjo02,"no-name",MIN,C,10,2,5,8,-4,1,0,0,114,103,31,9,17,199,2,3,,,,,,,25,14.633333333333333,0
forsbfi01,"no-name",NSH,C,10,3,4,2,0,0,0,0,0,3,32,4,24,191,4,10,,,,,,,26,4.366666666666666,0
foxad01,"no-name",NYR,D,10,3,4,4,-2,1,0,1,0,0,21,18,5,242,10,8,,,,,,,9,32.1,0
gauthcu01,"no-name",ANA,LW,8,5,2,8,4,0,0,1,3,8,38,3,10,146,0,6,,,,,,,18,1.8666666666666663,0
giroucl01,"no-name",OTT,C,9,1,6,4,3,0,0,1,45,22,13,2,6,142,3,8,,,,,,,10,1.7333333333333334,0
gostish01,"no-name",CAR,D,5,1,6,2,9,0,0,0,0,0,6,8,2,80,2,3,,,,,,,4,11,0
hertlto01,"no-name",VEG,C,9,3,4,8,3,2,0,1,92,64,21,2,13,156,1,7,,,,,,,21,1.2000000000000002,0
hughequ01,"no-name",VAN,D,9,1,6,0,-1,1,0,0,0,0,18,6,1,239,1,12,,,,,,,1,6.949999999999999,0
johanma03,"no-name",MIN,C,10,4,3,2,-1,2,0,0,3,0,16,4,4,157,3,8,,,,,,,6,4.233333333333333,0
kadrina01,"no-name",CGY,C,10,2,5,8,-7,1,0,0,57,69,27,4,7,203,4,14,,,,,,,15,0.7666666666666666,0
kapanol01,"no-name",MTL,C,10,4,3,2,2,0,1,1,23,25,15,6,8,126,2,3,,,,,,,10,9.2,0
lindhel01,"no-name",BOS,C,10,3,4,8,-3,3,0,1,109,76,20,13,15,184,3,11,,,,,,,23,11.133333333333333,0
lundean01,"no-name",FLA,C,10,2,5,4,-2,2,0,0,90,74,22,8,8,183,1,16,,,,,,,12,-0.9000000000000004,0
mctavma01,"no-name",ANA,C,8,1,6,8,-3,1,0,0,62,65,16,7,15,150,4,7,,,,,,,23,9,0
morrijo04,"no-name",WPG,D,9,0,7,6,8,0,0,0,0,0,16,19,7,224,3,14,,,,,,,13,19.2,0
neighja01,"no-name",STL,LW,8,6,1,4,-4,0,0,1,1,0,12,5,20,116,0,4,,,,,,,24,4.866666666666667,0
nemecsi01,"no-name",NJD,D,9,0,7,4,1,0,0,0,0,0,9,17,1,145,3,8,,,,,,,5,19.25,0
newhoal01,"no-name",MTL,C,10,3,4,4,6,0,0,0,25,34,11,4,14,150,1,1,,,,,,,18,9,0
nichuva01,"no-name",COL,RW,10,5,2,2,3,1,0,0,1,0,31,3,10,178,4,7,,,,,,,12,5.933333333333334,0
ovechal01,"no-name",WSH,LW,9,2,5,2,4,0,0,1,0,0,20,0,20,158,1,10,,,,,,,22,-3.7333333333333334,0
panarar01,"no-name",NYR,LW,10,2,5,2,-5,0,0,1,0,0,29,2,2,212,3,13,,,,,,,4,-0.9333333333333336,0
pointbr01,"no-name",TBL,C,9,2,5,2,-10,1,0,0,45,65,17,4,2,173,1,11,,,,,,,4,-0.2333333333333334,0
schaema01,"no-name",NYI,D,8,2,5,2,3,1,0,1,0,0,23,9,2,185,5,11,,,,,,,4,12.25,0
stuetti02,"no-name",OTT,LW,9,2,5,4,0,0,0,0,54,26,26,5,12,178,2,13,,,,,,,16,-0.06666666666666643,0
tuchal01,"no-name",BUF,RW,9,3,4,23,3,0,1,0,3,2,24,13,2,174,2,5,,,,,,,25,15.8,0
vilarga01,"no-name",WPG,C,9,1,6,2,0,1,0,0,6,5,20,2,4,168,0,8,,,,,,,6,-0.40000000000000036,0
armiajo01,"no-name",LAK,RW,10,2,4,8,2,0,1,0,3,2,16,4,11,143,3,6,,,,,,,19,5.766666666666667,0
beniema01,"no-name",SEA,C,9,1,5,2,1,1,0,0,61,73,16,8,5,176,0,13,,,,,,,7,0.8666666666666663,0
bertuty01,"no-name",CHI,LW,8,2,4,2,0,1,0,0,14,8,17,0,10,135,2,8,,,,,,,12,-1.5,0
blakeja02,"no-name",CAR,RW,8,2,4,8,1,0,0,0,0,0,28,2,2,136,3,10,,,,,,,10,-0.4666666666666668,0
boesebr01,"no-name",VAN,RW,8,4,2,0,0,1,0,0,6,10,20,2,5,160,0,5,,,,,,,5,2.333333333333333,0
bolduza01,"no-name",MTL,C,10,4,2,4,-1,2,0,0,4,3,20,3,14,133,1,7,,,,,,,18,1.4333333333333336,0
brownco02,"no-name",NJD,RW,9,5,1,2,2,0,1,0,2,1,15,9,5,141,3,6,,,,,,,7,10.7,0
buchnpa01,"no-name",STL,LW,8,2,4,4,-2,2,0,0,2,2,14,2,5,143,1,9,,,,,,,9,-1.2333333333333334,0
chychja01,"no-name",WSH,D,9,3,3,4,6,1,0,1,0,0,25,8,11,206,5,14,,,,,,,15,9.3,0
colembl01,"no-name",CGY,C,10,5,1,4,1,0,1,0,5,6,28,7,22,176,3,12,,,,,,,26,3.8666666666666663,0
doanjo01,"no-name",BUF,RW,9,2,4,2,0,2,0,1,2,1,24,1,10,135,2,8,,,,,,,12,-0.5,0
foersty01,"no-name",PHI,RW,8,3,3,2,6,1,0,0,1,0,14,2,7,145,2,7,,,,,,,9,1.833333333333333,0
gallabr01,"no-name",MTL,RW,10,0,6,6,1,0,0,0,2,0,16,1,8,138,2,4,,,,,,,14,3.5999999999999996,0
gritsar01,"no-name",NJD,RW,9,2,4,2,0,1,0,0,0,0,19,1,12,120,3,4,,,,,,,14,4,0
heineem01,"no-name",NYI,LW,8,5,1,6,6,1,0,0,2,1,13,3,35,114,2,3,,,,,,,41,5.8,0
hronefi01,"no-name",VAN,D,10,0,6,4,3,0,0,0,0,0,6,15,21,243,6,14,,,,,,,25,19.15,0
jennebo01,"no-name",CBJ,C,8,2,4,13,-3,1,0,1,30,21,14,9,21,134,1,4,,,,,,,34,10.466666666666667,0
karlser01,"no-name",PIT,D,9,0,6,4,4,0,0,0,0,0,12,8,0,191,5,16,,,,,,,4,6.550000000000001,0
kuzmean01,"no-name",LAK,F,10,2,4,2,3,2,0,0,0,0,15,2,12,159,2,16,,,,,,,14,-6.7,0
kyroujo01,"no-name",STL,C,8,2,4,0,-6,1,0,0,0,1,16,4,2,139,3,2,,,,,,,2,9.633333333333333,0
lohrema01,"no-name",BOS,D,10,1,5,0,0,1,0,0,0,0,8,14,5,180,2,10,,,,,,,5,15,0
mathemi01,"no-name",MTL,D,10,3,3,8,7,0,0,1,0,0,15,21,12,246,2,12,,,,,,,20,23.3,0
mcavoch01,"no-name",BOS,D,10,0,6,18,-5,0,0,0,0,0,17,17,16,244,4,10,,,,,,,34,23.2,0
mcleory01,"no-name",BUF,C,9,2,4,0,-2,0,1,0,61,99,10,6,2,165,2,9,,,,,,,2,4.5,0
millejt01,"no-name",NYR,C,10,2,4,4,-4,0,0,0,107,75,22,3,26,210,2,12,,,,,,,30,0,0
mitteca01,"no-name",BOS,C,9,3,3,0,0,0,0,0,41,27,9,4,1,129,2,9,,,,,,,1,1.2999999999999998,0
niedeni01,"no-name",WPG,RW,9,2,4,6,1,1,0,1,1,0,16,3,18,129,2,5,,,,,,,24,4.3,0
palmiky01,"no-name",NYI,RW,8,3,3,6,-1,0,0,0,1,1,25,6,9,160,2,1,,,,,,,15,12.333333333333332,0
quinnja01,"no-name",BUF,RW,9,3,3,0,-2,2,0,1,0,0,16,3,2,134,0,8,,,,,,,2,-0.5333333333333332,0
raymolu01,"no-name",DET,LW,7,2,4,0,4,1,0,1,1,0,7,3,2,119,4,6,,,,,,,2,4.966666666666667,0
riellmo01,"no-name",TOR,D,8,2,4,2,-3,0,0,1,0,0,21,5,6,174,1,17,,,,,,,8,-2.3000000000000007,0
samosma01,"no-name",FLA,RW,10,2,4,6,-1,2,0,0,0,0,26,2,20,146,1,6,,,,,,,26,1.8666666666666663,0
sandeja01,"no-name",OTT,D,9,1,5,0,-1,1,0,0,0,0,17,14,4,213,5,16,,,,,,,4,13.65,0
sherwki01,"no-name",VAN,RW,10,6,0,8,-3,1,1,1,4,6,19,6,45,166,4,14,,,,,,,53,1.5333333333333332,0
snuggji01,"no-name",STL,RW,8,3,3,2,0,1,0,2,1,0,18,6,6,112,5,4,,,,,,,8,10.733333333333334,0
thomaro01,"no-name",STL,C,8,1,5,4,-1,1,0,0,67,69,8,6,3,149,4,15,,,,,,,7,-0.033333333333333215,0
zubar01,"no-name",OTT,D,9,1,5,6,3,0,0,0,0,0,17,14,13,168,1,8,,,,,,,19,15.4,0
zuckeja01,"no-name",BUF,LW,9,4,2,4,-6,2,0,1,6,13,19,1,12,129,2,6,,,,,,,16,1.2999999999999998,0
backlmi01,"no-name",CGY,C,10,2,3,4,-1,0,0,0,84,90,18,2,7,169,4,3,,,,,,,11,8.633333333333333,0
barromo01,"no-name",WPG,C,9,3,2,2,1,0,1,1,58,46,9,5,17,108,2,5,,,,,,,19,5.6,0
brinkbo01,"no-name",PHI,RW,8,2,3,2,0,0,0,0,0,5,13,2,8,132,1,3,,,,,,,10,4.4,0
carrial01,"no-name",MTL,D,10,1,4,6,-2,0,0,0,0,0,9,25,4,183,5,8,,,,,,,10,31.15,0
catesno01,"no-name",PHI,LW,8,3,2,2,2,1,0,1,56,61,17,7,7,136,4,8,,,,,,,9,7.533333333333333,0
chaboth01,"no-name",OTT,D,9,2,3,8,0,1,0,0,0,0,13,17,4,202,5,5,,,,,,,12,27.1,0
clarkbr02,"no-name",LAK,D,10,1,4,2,4,0,0,0,0,0,17,17,5,167,2,13,,,,,,,7,14.35,0
comphj.01,"no-name",DET,LW,9,2,3,2,0,0,0,0,50,51,8,7,3,150,0,7,,,,,,,5,5,0
demeldy01,"no-name",WPG,D,9,1,4,8,7,0,0,0,0,0,7,20,7,194,1,14,,,,,,,15,16.7,0
dillobr01,"no-name",NJD,D,9,2,3,4,6,0,0,2,0,0,9,18,22,165,3,3,,,,,,,26,26.25,0
dobsono01,"no-name",MTL,D,10,1,4,6,2,0,0,0,0,0,16,22,3,226,3,12,,,,,,,9,24.3,0
drouijo01,"no-name",NYI,LW,7,1,4,17,6,0,0,0,3,4,8,3,2,126,1,3,,,,,,,19,5.2,0
dunnvi02,"no-name",SEA,D,9,2,3,6,-2,0,0,0,0,0,24,7,1,212,1,10,,,,,,,7,8.6,0
eyssimi01,"no-name",BOS,C,10,2,3,4,-5,0,0,0,0,0,19,6,5,112,0,5,,,,,,,9,4.733333333333333,0
fantiad01,"no-name",CBJ,C,8,2,3,4,0,0,0,0,26,29,18,3,8,124,5,12,,,,,,,12,0.13333333333333375,0
frostmo01,"no-name",CGY,C,10,1,4,8,1,0,0,0,65,60,14,5,5,151,0,5,,,,,,,13,5.033333333333333,0
greeraj01,"no-name",FLA,LW,10,3,2,7,2,0,0,0,1,4,6,3,27,86,0,4,,,,,,,34,1.8666666666666667,0
hagelbr01,"no-name",TBL,LW,9,1,4,10,-2,0,0,0,1,4,23,6,7,177,5,13,,,,,,,17,3.9000000000000004,0
hallta02,"no-name",CAR,LW,8,2,3,8,3,0,0,0,1,2,12,3,7,111,3,5,,,,,,,15,4.7,0
hartmry01,"no-name",MIN,RW,10,3,2,4,-3,1,0,1,68,81,33,11,8,162,2,9,,,,,,,12,9.4,0
holmssi01,"no-name",NYI,RW,8,2,3,2,-2,0,1,0,1,1,9,10,2,106,2,6,,,,,,,4,9.533333333333333,0
hughelu01,"no-name",NJD,D,9,0,5,14,2,0,0,0,0,0,18,5,5,186,2,9,,,,,,,19,7.300000000000001,0
jonesse01,"no-name",FLA,D,10,0,5,4,-4,0,0,0,0,0,14,8,15,231,2,14,,,,,,,19,7.550000000000001,0
josiro01,"no-name",NSH,D,8,1,4,6,-4,0,0,0,0,0,19,15,4,192,3,12,,,,,,,10,15.6,0
kanepa01,"no-name",DET,RW,5,2,3,0,-2,1,0,1,0,0,9,1,2,86,0,7,,,,,,,2,-3.1333333333333333,0
karlswi01,"no-name",VEG,C,9,4,1,4,-2,1,1,1,57,47,20,10,1,144,2,8,,,,,,,5,8.8,0
kreidch01,"no-name",ANA,LW,5,4,1,0,0,3,0,1,0,0,14,1,5,87,0,6,,,,,,,5,-2.1,0
kulicji01,"no-name",BUF,C,9,3,2,4,-3,0,0,0,46,71,17,10,6,147,1,8,,,,,,,10,7.9,0
leonary01,"no-name",WSH,RW,9,3,2,2,3,1,0,2,3,2,19,1,15,113,2,10,,,,,,,17,-3.2333333333333334,0
malinsa01,"no-name",COL,D,10,1,4,2,1,0,0,1,0,0,15,10,3,147,4,12,,,,,,,5,9.35,0
audymjo01,"no-name",NSH,C,7,3,2,4,-5,1,0,0,3,1,20,1,17,126,3,8,,,,,,,21,0.20000000000000018,0
marinjo01,"no-name",UTA,D,10,1,4,4,5,0,0,0,0,0,10,9,2,202,3,16,,,,,,,6,6.1,0
mcdonry01,"no-name",TBL,D,9,3,2,0,-3,0,0,0,0,0,7,14,3,191,3,16,,,,,,,3,10.55,0
mikheil01,"no-name",CHI,F,9,3,2,0,5,0,0,0,0,5,19,4,8,160,4,2,,,,,,,8,11.333333333333332,0
nurseda01,"no-name",EDM,D,10,1,4,6,-2,0,0,0,0,0,24,31,18,210,1,11,,,,,,,24,31.5,0
olofsvi01,"no-name",COL,RW,10,0,5,0,0,0,0,0,0,0,26,2,3,136,3,5,,,,,,,3,4.533333333333333,0
pageaje01,"no-name",NYI,C,8,2,3,0,1,0,0,1,68,49,8,5,17,116,3,9,,,,,,,17,2.8666666666666667,0
perroda01,"no-name",OTT,LW,9,2,3,6,-5,2,0,0,0,1,12,3,9,127,1,4,,,,,,,15,4.233333333333333,0
podkova01,"no-name",EDM,RW,10,1,4,2,3,0,0,1,1,2,13,7,32,137,2,7,,,,,,,34,6.566666666666666,0
reinhsa01,"no-name",FLA,C,10,4,1,2,-4,1,1,1,18,38,26,7,13,211,2,7,,,,,,,15,9.033333333333333,0
rodriev01,"no-name",FLA,C,10,2,3,6,2,0,0,0,40,48,19,5,11,161,2,9,,,,,,,17,3.3666666666666663,0
samuema02,"no-name",BUF,D,7,2,3,4,2,0,0,1,0,0,8,18,12,144,0,3,,,,,,,16,22.2,0
sennebe01,"no-name",ANA,F,8,3,2,0,-6,1,0,0,0,0,14,4,11,139,3,4,,,,,,,11,7.633333333333334,0
sheary01,"no-name",PIT,D,9,1,4,4,3,0,0,0,0,0,8,14,3,187,2,10,,,,,,,7,15.35,0
slafkju01,"no-name",MTL,LW,10,4,1,8,3,2,0,0,1,5,23,12,21,183,1,6,,,,,,,29,13.1,0
