name,hockeydb,nhl,fhl,hockey-reference
Rod Brind'Amour,576,UFA,Rod Brind'Amour,Rod Brind'Amour
Patrice Brisebois,577,UFA,Patrice Brisebois,Patrice Brisebois
Martin Brochu,581,UFA,Martin Brochu,Martin Brochu
Martin Brodeur,587,UFA,Martin Brodeur,Martin Brodeur
Neal Broten,597,UFA,Neal Broten,Neal Broten
Paul Broten,598,UFA,Paul Broten,Paul Broten
Dave Brown,610,UFA,Dave Brown,Dave Brown
Doug Brown,611,UFA,Doug Brown,Doug Brown
Greg Brown,612,UFA,Greg Brown,Greg Brown
Jeff Brown,613,UFA,Jeff Brown,Jeff Brown
Keith Brown,615,UFA,Keith Brown,Keith Brown
Rob Brown,619,UFA,Rob Brown,Rob Brown
Benoit Brunet,631,UFA,Benoit Brunet,Benoit Brunet
Andrew Brunette,634,UFA,Andrew Brunette,Andrew Brunette
Sergei Brylin,640,UFA,Sergei Brylin,Sergei Brylin
Kelly Buchberger,645,UFA,Kelly Buchberger,Kelly Buchberger
Pavel Bure,662,UFA,Pavel Bure,Pavel Bure
Valeri Bure,663,UFA,Valeri Bure,Valeri Bure
Marc Bureau,664,UFA,Marc Bureau,Marc Bureau
Sean Burke,674,UFA,Sean Burke,Sean Burke
Shawn Burr,689,UFA,Shawn Burr,Shawn Burr
Randy Burridge,690,UFA,Randy Burridge,Randy Burridge
Adam Burt,693,UFA,Adam Burt,Adam Burt
Garth Butcher,699,UFA,Garth Butcher,Garth Butcher
Vyacheslav Butsayev,703,UFA,Vyacheslav Butsayev,Vyacheslav Butsayev
Ilya Byakin,707,UFA,Ilya Byakin,Ilya Byakin
Gary Shuchuk,719,UFA,Gary Shuchuk,Gary Shuchuk
Chris Tancill,720,UFA,Chris Tancill,Chris Tancill
Mike Sillinger,721,UFA,Mike Sillinger,Mike Sillinger
Sheldon Kennedy,724,UFA,Sheldon Kennedy,Sheldon Kennedy
Keith Primeau,725,UFA,Keith Primeau,Keith Primeau
Stewart Malgunas,727,UFA,Stewart Malgunas,Stewart Malgunas
Marc Potvin,728,UFA,Marc Potvin,Marc Potvin
Jason York,730,UFA,Jason York,Jason York
Jim Cummins,731,UFA,Jim Cummins,Jim Cummins
Bobby Dollas,740,UFA,Bobby Dollas,Bobby Dollas
Johan Garpenlov,741,UFA,Johan Garpenlov,Johan Garpenlov
Dennis Vial,742,UFA,Dennis Vial,Dennis Vial
Phil Crowe,747,UFA,Phil Crowe,Phil Crowe
Vincent Riendeau,753,UFA,Vincent Riendeau,Vincent Riendeau
Brent Hughes,759,UFA,Brent Hughes,Brent Hughes
Tim Taylor,765,UFA,Tim Taylor,Tim Taylor
Jan Caloun,784,UFA,Jan Caloun,Jan Caloun
Jim Campbell,793,UFA,Jim Campbell,Jim Campbell
Guy Carbonneau,809,UFA,Guy Carbonneau,Guy Carbonneau
Terry Carkner,823,UFA,Terry Carkner,Terry Carkner
Patrik Carnback,830,UFA,Patrik Carnback,Patrik Carnback
Keith Carney,831,UFA,Keith Carney,Keith Carney
Jimmy Carson,845,UFA,Jimmy Carson,Jimmy Carson
Anson Carter,847,UFA,Anson Carter,Anson Carter
Jon Casey,854,UFA,Jon Casey,Jon Casey
Andrew Cassels,856,UFA,Andrew Cassels,Andrew Cassels
Paul Cavallini,864,UFA,Paul Cavallini,Paul Cavallini
Shawn Chambers,883,UFA,Shawn Chambers,Shawn Chambers
Eric Charron,903,UFA,Eric Charron,Eric Charron
Brad Chartrand,906,UFA,Brad Chartrand,Brad Chartrand
Kelly Chase,908,UFA,Kelly Chase,Kelly Chase
Denis Chasse,910,UFA,Denis Chasse,Denis Chasse
Vladimir Chebaturkin,911,UFA,Vladimir Chebaturkin,Vladimir Chebaturkin
Chris Chelios,946,UFA,Chris Chelios,Chris Chelios
Tim Cheveldae,954,UFA,Tim Cheveldae,Tim Cheveldae
Steve Chiasson,958,UFA,Steve Chiasson,Steve Chiasson
Tom Chorske,969,UFA,Tom Chorske,Tom Chorske
Dave Christian,973,UFA,Dave Christian,Dave Christian
Shane Churla,985,UFA,Shane Churla,Shane Churla
Dean Chynoweth,987,UFA,Dean Chynoweth,Dean Chynoweth
Dino Ciccarelli,992,UFA,Dino Ciccarelli,Dino Ciccarelli
Enrico Ciccone,994,UFA,Enrico Ciccone,Enrico Ciccone
Jozef Cierny,996,UFA,Jozef Cierny,Jozef Cierny
Zdeno Ciger,998,UFA,Zdeno Ciger,Zdeno Ciger
Joe Cirella,1004,UFA,Joe Cirella,Joe Cirella
Kerry Clark,1017,UFA,Kerry Clark,Kerry Clark
Wendel Clark,1018,UFA,Wendel Clark,Wendel Clark
Jacques Cloutier,1034,UFA,Jacques Cloutier,Jacques Cloutier
Paul Coffey,1042,UFA,Paul Coffey,Paul Coffey
Danton Cole,1047,UFA,Danton Cole,Danton Cole
Pat Conacher,1069,UFA,Pat Conacher,Pat Conacher
Al Conroy,1077,UFA,Al Conroy,Al Conroy
Craig Conroy,1078,UFA,Craig Conroy,Craig Conroy
Brandon Convery,1082,UFA,Brandon Convery,Brandon Convery
Rene Corbet,1095,UFA,Rene Corbet,Rene Corbet
Bob Corkum,1099,UFA,Bob Corkum,Bob Corkum
Shayne Corson,1109,UFA,Shayne Corson,Shayne Corson
Patrick Cote,1114,UFA,Patrick Cote,Patrick Cote
Sylvain Cote,1116,UFA,Sylvain Cote,Sylvain Cote
Geoff Courtnall,1125,UFA,Geoff Courtnall,Geoff Courtnall
Russ Courtnall,1126,UFA,Russ Courtnall,Russ Courtnall
Marcel Cousineau,1128,UFA,Marcel Cousineau,Marcel Cousineau
Mike Craig,1143,UFA,Mike Craig,Mike Craig
Dale Craigwell,1144,UFA,Dale Craigwell,Dale Craigwell
Murray Craven,1148,UFA,Murray Craven,Murray Craven
Adam Creighton,1157,UFA,Adam Creighton,Adam Creighton
Cory Cross,1168,UFA,Cory Cross,Cory Cross
Doug Crossman,1169,UFA,Doug Crossman,Doug Crossman
Troy Crowder,1173,UFA,Troy Crowder,Troy Crowder
John Cullen,1188,UFA,John Cullen,John Cullen
Jassen Cullimore,1191,UFA,Jassen Cullimore,Jassen Cullimore
Randy Cunneyworth,1194,UFA,Randy Cunneyworth,Randy Cunneyworth
Byron Dafoe,1223,UFA,Byron Dafoe,Byron Dafoe
Kevin Dahl,1225,UFA,Kevin Dahl,Kevin Dahl
Ulf Dahlen,1226,UFA,Ulf Dahlen,Ulf Dahlen
Chris Dahlquist,1228,UFA,Chris Dahlquist,Chris Dahlquist
Alexandre Daigle,1230,UFA,Alexandre Daigle,Alexandre Daigle
J.J. Daigneault,1231,UFA,J.J. Daigneault,J.J. Daigneault
Brad Dalgarno,1236,UFA,Brad Dalgarno,Brad Dalgarno
Vincent Damphousse,1244,UFA,Vincent Damphousse,Vincent Damphousse
Ken Daneyko,1246,UFA,Ken Daneyko,Ken Daneyko
Scott Daniels,1251,UFA,Scott Daniels,Scott Daniels
Craig Darby,1255,UFA,Craig Darby,Craig Darby
Evgeny Davydov,1272,UFA,Evgeny Davydov,Evgeny Davydov
Jason Dawe,1273,UFA,Jason Dawe,Jason Dawe
Louie DeBrusk,1285,UFA,Louie DeBrusk,Louie DeBrusk
Philippe DeRouville,1296,UFA,Philippe DeRouville,Philippe DeRouville
Adam Deadmarsh,1301,UFA,Adam Deadmarsh,Adam Deadmarsh
Kevin Dean,1304,UFA,Kevin Dean,Kevin Dean
Pavol Demitra,1325,UFA,Pavol Demitra,Pavol Demitra
Eric Desjardins,1339,UFA,Eric Desjardins,Eric Desjardins
Rob Dimaio,1354,UFA,Rob Dimaio,Rob Dimaio
Paul Dipietro,1355,UFA,Paul Dipietro,Paul Dipietro
Gerald Diduck,1358,UFA,Gerald Diduck,Gerald Diduck
Kevin Dineen,1368,UFA,Kevin Dineen,Kevin Dineen
Gilbert Dionne,1373,UFA,Gilbert Dionne,Gilbert Dionne
Robert Dirk,1375,UFA,Robert Dirk,Robert Dirk
Tie Domi,1391,UFA,Tie Domi,Tie Domi
Ted Donato,1396,UFA,Ted Donato,Ted Donato
Mike Donnelly,1399,UFA,Mike Donnelly,Mike Donnelly
Jim Dowd,1420,UFA,Jim Dowd,Jim Dowd
Dallas Drake,1426,UFA,Dallas Drake,Dallas Drake
Kris Draper,1428,UFA,Kris Draper,Kris Draper
Tom Draper,1429,UFA,Tom Draper,Tom Draper
Bruce Driver,1436,UFA,Bruce Driver,Bruce Driver
John Druce,1441,UFA,John Druce,John Druce
Stan Drulia,1442,UFA,Stan Drulia,Stan Drulia
Chris Drury,1444,UFA,Chris Drury,Chris Drury
Ted Drury,1445,UFA,Ted Drury,Ted Drury
Steve Dubinsky,1452,UFA,Steve Dubinsky,Steve Dubinsky
Gaetan Duchesne,1457,UFA,Gaetan Duchesne,Gaetan Duchesne
Steve Duchesne,1458,UFA,Steve Duchesne,Steve Duchesne
Mike Dunham,1485,UFA,Mike Dunham,Mike Dunham
Karl Dykhuis,1510,UFA,Karl Dykhuis,Karl Dykhuis
Joe Dziedzic,1513,UFA,Joe Dziedzic,Joe Dziedzic
Mike Eastwood,1522,UFA,Mike Eastwood,Mike Eastwood
Todd Elik,1552,UFA,Todd Elik,Todd Elik
Dave Ellett,1553,UFA,Dave Ellett,Dave Ellett
Pat Elynuik,1557,UFA,Pat Elynuik,Pat Elynuik
Nelson Emerson,1558,UFA,Nelson Emerson,Nelson Emerson
David Emma,1559,UFA,David Emma,David Emma
John Emmons,1561,UFA,John Emmons,John Emmons
Anders Eriksson,1577,UFA,Anders Eriksson,Anders Eriksson
Bob Errey,1582,UFA,Bob Errey,Bob Errey
Bob Essensa,1593,UFA,Bob Essensa,Bob Essensa
Dean Evason,1604,UFA,Dean Evason,Dean Evason
Todd Ewen,1607,UFA,Todd Ewen,Todd Ewen
Pat Falloon,1617,UFA,Pat Falloon,Pat Falloon
Andre Faust,1626,UFA,Andre Faust,Andre Faust
Glen Featherstone,1631,UFA,Glen Featherstone,Glen Featherstone
Sergei Fedorov,1636,UFA,Sergei Fedorov,Sergei Fedorov
Brent Fedyk,1638,UFA,Brent Fedyk,Brent Fedyk
Denny Felsner,1642,UFA,Denny Felsner,Denny Felsner
Peter Ferraro,1656,UFA,Peter Ferraro,Peter Ferraro
Ray Ferraro,1657,UFA,Ray Ferraro,Ray Ferraro
Viacheslav Fetisov,1661,UFA,Viacheslav Fetisov,Viacheslav Fetisov
Dmitri Filimonov,1669,UFA,Dmitri Filimonov,Dmitri Filimonov
Jeff Finley,1676,UFA,Jeff Finley,Jeff Finley
Steven Finn,1678,UFA,Steven Finn,Steven Finn
Peter Fiorentino,1683,UFA,Peter Fiorentino,Peter Fiorentino
Stephane Fiset,1685,UFA,Stephane Fiset,Stephane Fiset
Rusty Fitzgerald,1690,UFA,Rusty Fitzgerald,Rusty Fitzgerald
Tom Fitzgerald,1691,UFA,Tom Fitzgerald,Tom Fitzgerald
Mark Fitzpatrick,1692,UFA,Mark Fitzpatrick,Mark Fitzpatrick
Wade Flaherty,1696,UFA,Wade Flaherty,Wade Flaherty
Patrick Flatley,1702,UFA,Patrick Flatley,Patrick Flatley
Gerry Fleming,1704,UFA,Gerry Fleming,Gerry Fleming
Theoren Fleury,1712,UFA,Theoren Fleury,Theoren Fleury
Adam Foote,1735,UFA,Adam Foote,Adam Foote
Peter Forsberg,1742,UFA,Peter Forsberg,Peter Forsberg
Corey Foster,1748,UFA,Corey Foster,Corey Foster
Mike Fountain,1754,UFA,Mike Fountain,Mike Fountain
Ron Francis,1767,UFA,Ron Francis,Ron Francis
Iain Fraser,1772,UFA,Iain Fraser,Iain Fraser
Jeff Friesen,1786,UFA,Jeff Friesen,Jeff Friesen
Grant Fuhr,1794,UFA,Grant Fuhr,Grant Fuhr
Dave Gagner,1811,UFA,Dave Gagner,Dave Gagner
Garry Galley,1827,UFA,Garry Galley,Garry Galley
Mike Gartner,1855,UFA,Mike Gartner,Mike Gartner
Rob Gaudreau,1863,UFA,Rob Gaudreau,Rob Gaudreau
Aaron Gavey,1873,UFA,Aaron Gavey,Aaron Gavey
Martin Gelinas,1876,UFA,Martin Gelinas,Martin Gelinas
Martin Gendron,1880,UFA,Martin Gendron,Martin Gendron
Greg Gilbert,1902,UFA,Greg Gilbert,Greg Gilbert
Brent Gilchrist,1905,UFA,Brent Gilchrist,Brent Gilchrist
Randy Gilhen,1907,UFA,Randy Gilhen,Randy Gilhen
Todd Gill,1908,UFA,Todd Gill,Todd Gill
Doug Gilmour,1915,UFA,Doug Gilmour,Doug Gilmour
Brian Glynn,1937,UFA,Brian Glynn,Brian Glynn
Alexander Godynyuk,1944,UFA,Alexander Godynyuk,Alexander Godynyuk
Sergei Gonchar,1957,UFA,Sergei Gonchar,Sergei Gonchar
Michel Goulet,1985,UFA,Michel Goulet,Michel Goulet
Chris Govedaris,1988,UFA,Chris Govedaris,Chris Govedaris
Dirk Graham,1994,UFA,Dirk Graham,Dirk Graham
Tony Granato,1998,UFA,Tony Granato,Tony Granato
Chris Gratton,2007,UFA,Chris Gratton,Chris Gratton
Adam Graves,2013,UFA,Adam Graves,Adam Graves
Travis Green,2023,UFA,Travis Green,Travis Green
Jeff Greenlaw,2024,UFA,Jeff Greenlaw,Jeff Greenlaw
Brent Gretzky,2033,UFA,Brent Gretzky,Brent Gretzky
Wayne Gretzky,2035,UFA,Wayne Gretzky,Wayne Gretzky
Brent Grieve,2036,UFA,Brent Grieve,Brent Grieve
Stu Grimson,2041,UFA,Stu Grimson,Stu Grimson
Tuomas Gronman,2046,UFA,Tuomas Gronman,Tuomas Gronman
Michal Grosek,2048,UFA,Michal Grosek,Michal Grosek
John Gruden,2051,UFA,John Gruden,John Gruden
Bill Guerin,2060,UFA,Bill Guerin,Bill Guerin
Steve Guolla,2070,UFA,Steve Guolla,Steve Guolla
Alexei Gusarov,2072,UFA,Alexei Gusarov,Alexei Gusarov
Ravil Gusmanov,2073,UFA,Ravil Gusmanov,Ravil Gusmanov
Jeff Hackett,2083,UFA,Jeff Hackett,Jeff Hackett
Sean Haggerty,2086,UFA,Sean Haggerty,Sean Haggerty
Bob Halkidis,2093,UFA,Bob Halkidis,Bob Halkidis
Kevin Haller,2102,UFA,Kevin Haller,Kevin Haller
Roman Hamrlik,2125,UFA,Roman Hamrlik,Roman Hamrlik
Mark Hardy,2151,UFA,Mark Hardy,Mark Hardy
Brett Harkins,2152,UFA,Brett Harkins,Brett Harkins
Mike Hartman,2176,UFA,Mike Hartman,Mike Hartman
Todd Harvey,2186,UFA,Todd Harvey,Todd Harvey
Dominik Hasek,2187,UFA,Dominik Hasek,Dominik Hasek
Derian Hatcher,2191,UFA,Derian Hatcher,Derian Hatcher
Kevin Hatcher,2192,UFA,Kevin Hatcher,Kevin Hatcher
Brett Hauer,2194,UFA,Brett Hauer,Brett Hauer
Dale Hawerchuk,2199,UFA,Dale Hawerchuk,Dale Hawerchuk
Greg Hawgood,2200,UFA,Greg Hawgood,Greg Hawgood
Glenn Healy,2215,UFA,Glenn Healy,Glenn Healy
Guy Hebert,2221,UFA,Guy Hebert,Guy Hebert
Bret Hedican,2224,UFA,Bret Hedican,Bret Hedican
Steve Heinze,2229,UFA,Steve Heinze,Steve Heinze
Darby Hendrickson,2237,UFA,Darby Hendrickson,Darby Hendrickson
Chris Herperger,2253,UFA,Chris Herperger,Chris Herperger
Jamie Heward,2260,UFA,Jamie Heward,Jamie Heward
Ron Hextall,2264,UFA,Ron Hextall,Ron Hextall
Alex Hicks,2268,UFA,Alex Hicks,Alex Hicks
Sean Hill,2279,UFA,Sean Hill,Sean Hill
Corey Hirsch,2295,UFA,Corey Hirsch,Corey Hirsch
Milan Hnilicka,2304,UFA,Milan Hnilicka,Milan Hnilicka
Kevin Hodson,2313,UFA,Kevin Hodson,Kevin Hodson
Jonas Hoglund,2325,UFA,Jonas Hoglund,Jonas Hoglund
Benoit Hogue,2326,UFA,Benoit Hogue,Benoit Hogue
Milos Holan,2328,UFA,Milos Holan,Milos Holan
Bobby Holik,2332,UFA,Bobby Holik,Bobby Holik
Brian Holzinger,2347,UFA,Brian Holzinger,Brian Holzinger
Doug Houda,2369,UFA,Doug Houda,Doug Houda
Mike Hough,2370,UFA,Mike Hough,Mike Hough
Bill Houlder,2371,UFA,Bill Houlder,Bill Houlder
Phil Housley,2374,UFA,Phil Housley,Phil Housley
Mark Howe,2379,UFA,Mark Howe,Mark Howe
Tony Hrkac,2389,UFA,Tony Hrkac,Tony Hrkac
Kelly Hrudey,2390,UFA,Kelly Hrudey,Kelly Hrudey
Bill Huard,2392,UFA,Bill Huard,Bill Huard
Charlie Huddy,2397,UFA,Charlie Huddy,Charlie Huddy
Kerry Huffman,2402,UFA,Kerry Huffman,Kerry Huffman
Brett Hull,2410,UFA,Brett Hull,Brett Hull
Jody Hull,2412,UFA,Jody Hull,Jody Hull
Cale Hulse,2413,UFA,Cale Hulse,Cale Hulse
Dale Hunter,2419,UFA,Dale Hunter,Dale Hunter
Tim Hunter,2422,UFA,Tim Hunter,Tim Hunter
Jamie Huscroft,2427,UFA,Jamie Huscroft,Jamie Huscroft
Al Iafrate,2441,UFA,Al Iafrate,Al Iafrate
Victor Ignatjev,2447,UFA,Victor Ignatjev,Victor Ignatjev
Peter Ing,2460,UFA,Peter Ing,Peter Ing
Arturs Irbe,2472,UFA,Arturs Irbe,Arturs Irbe
Pat Jablonski,2484,UFA,Pat Jablonski,Pat Jablonski
Jaromir Jagr,2497,UFA,Jaromír Jágr,Jaromír Jágr
Craig Janney,2505,UFA,Craig Janney,Craig Janney
Mark Janssens,2506,UFA,Mark Janssens,Mark Janssens
Grant Jennings,2527,UFA,Grant Jennings,Grant Jennings
Calle Johansson,2547,UFA,Calle Johansson,Calle Johansson
Greg Johnson,2559,UFA,Greg Johnson,Greg Johnson
Jim Johnson,2560,UFA,Jim Johnson,Jim Johnson
Jean-Francois Jomphe,2581,UFA,Jean-Francois Jomphe,Jean-Francois Jomphe
Keith Jones,2588,UFA,Keith Jones,Keith Jones
Kenny Jonsson,2591,UFA,Kenny Jonsson,Kenny Jonsson
Chris Joseph,2594,UFA,Chris Joseph,Chris Joseph
Curtis Joseph,2595,UFA,Curtis Joseph,Curtis Joseph
Ed Jovanovski,2599,UFA,Ed Jovanovski,Ed Jovanovski
Joe Juneau,2608,UFA,Joe Juneau,Joe Juneau
Frantisek Kaberle,2616,UFA,Frantisek Kaberle,Frantisek Kaberle
Valeri Kamensky,2622,UFA,Valeri Kamensky,Valeri Kamensky
Kevin Kaminski,2624,UFA,Kevin Kaminski,Kevin Kaminski
Yan Kaminsky,2625,UFA,Yan Kaminsky,Yan Kaminsky
Sami Kapanen,2628,UFA,Sami Kapanen,Sami Kapanen
Ladislav Karabin,2634,UFA,Ladislav Karabin,Ladislav Karabin
Paul Kariya,2640,UFA,Paul Kariya,Paul Kariya
Dave Karpa,2647,UFA,Dave Karpa,Dave Karpa
Valeri Karpov,2649,UFA,Valeri Karpov,Valeri Karpov
Alexander Karpovtsev,2650,UFA,Alexander Karpovtsev,Alexander Karpovtsev
Alexei Kasatonov,2651,UFA,Alexei Kasatonov,Alexei Kasatonov
Darius Kasparaitis,2652,UFA,Darius Kasparaitis,Darius Kasparaitis
Mike Keane,2658,UFA,Mike Keane,Mike Keane
Dan Keczmer,2661,UFA,Dan Keczmer,Dan Keczmer
Dean Kennedy,2683,UFA,Dean Kennedy,Dean Kennedy
Mike Kennedy,2685,UFA,Mike Kennedy,Mike Kennedy
Dan Kesa,2701,UFA,Dan Kesa,Dan Kesa
Markus Ketterer,2702,UFA,Markus Ketterer,Markus Ketterer
Nikolai Khabibulin,2703,UFA,Nikolai Khabibulin,Nikolai Khabibulin
Alexander Kharlamov,2706,UFA,Alexander Kharlamov,Alexander Kharlamov
Yuri Khmylev,2707,UFA,Yuri Khmylev,Yuri Khmylev
Dmitri Khristich,2710,UFA,Dmitri Khristich,Dmitri Khristich
Trevor Kidd,2713,UFA,Trevor Kidd,Trevor Kidd
Darin Kimble,2719,UFA,Darin Kimble,Darin Kimble
Derek King,2723,UFA,Derek King,Derek King
Kris King,2725,UFA,Kris King,Kris King
Steven King,2727,UFA,Steven King,Steven King
Marko Kiprusoff,2732,UFA,Marko Kiprusoff,Marko Kiprusoff
Kelly Kisio,2737,UFA,Kelly Kisio,Kelly Kisio
Patric Kjellberg,2741,UFA,Patric Kjellberg,Patric Kjellberg
Trent Klatt,2744,UFA,Trent Klatt,Trent Klatt
Ken Klee,2745,UFA,Ken Klee,Ken Klee
Jon Klemm,2748,UFA,Jon Klemm,Jon Klemm
Petr Klima,2750,UFA,Petr Klima,Petr Klima
Mike Knuble,2765,UFA,Mike Knuble,Mike Knuble
Joey Kocur,2767,UFA,Joey Kocur,Joey Kocur
Saku Koivu,2771,UFA,Saku Koivu,Saku Koivu
Olaf Kolzig,2774,UFA,Olaf Kolzig,Olaf Kolzig
Steve Konowalchuk,2778,UFA,Steve Konowalchuk,Steve Konowalchuk
Vladimir Konstantinov,2780,UFA,Vladimir Konstantinov,Vladimir Konstantinov
Chris Kontos,2781,UFA,Chris Kontos,Chris Kontos
Dan Kordic,2788,UFA,Dan Kordic,Dan Kordic
Igor Korolev,2793,UFA,Igor Korolev,Igor Korolev
Andrei Kovalenko,2802,UFA,Andrei Kovalenko,Andrei Kovalenko
Alexei Kovalev,2803,UFA,Alexei Kovalev,Alexei Kovalev
Viktor Kozlov,2808,UFA,Viktor Kozlov,Viktor Kozlov
Vyacheslav Kozlov,2809,UFA,Vyacheslav Kozlov,Vyacheslav Kozlov
Igor Kravchuk,2816,UFA,Igor Kravchuk,Igor Kravchuk
Sergei Krivokrasov,2825,UFA,Sergei Krivokrasov,Sergei Krivokrasov
Robert Kron,2829,UFA,Robert Kron,Robert Kron
Vlastimil Kroupa,2830,UFA,Vlastimil Kroupa,Vlastimil Kroupa
Uwe Krupp,2833,UFA,Uwe Krupp,Uwe Krupp
Paul Kruse,2835,UFA,Paul Kruse,Paul Kruse
Mike Krushelnyski,2836,UFA,Mike Krushelnyski,Mike Krushelnyski
Todd Krygier,2840,UFA,Todd Krygier,Todd Krygier
Frantisek Kucera,2844,UFA,Frantisek Kucera,Frantisek Kucera
Alexei Kudashov,2845,UFA,Alexei Kudashov,Alexei Kudashov
Bob Kudelski,2846,UFA,Bob Kudelski,Bob Kudelski
Jari Kurri,2852,UFA,Jari Kurri,Jari Kurri
Tom Kurvers,2855,UFA,Tom Kurvers,Tom Kurvers
Dmitri Kvartalnov,2862,UFA,Dmitri Kvartalnov,Dmitri Kvartalnov
Nick Kypreos,2865,UFA,Nick Kypreos,Nick Kypreos
Jim Kyte,2867,UFA,Jim Kyte,Jim Kyte
Pat Lafontaine,2871,UFA,Pat Lafontaine,Pat Lafontaine
Scott Lachance,2888,UFA,Scott Lachance,Scott Lachance
Blaine Lacher,2889,UFA,Blaine Lacher,Blaine Lacher
Daniel Lacroix,2894,UFA,Daniel Lacroix,Daniel Lacroix
Eric Lacroix,2895,UFA,Eric Lacroix,Eric Lacroix
Randy Ladouceur,2898,UFA,Randy Ladouceur,Randy Ladouceur
Nathan Lafayette,2900,UFA,Nathan Lafayette,Nathan Lafayette
Mike Lalor,2925,UFA,Mike Lalor,Mike Lalor
Mark Lamb,2928,UFA,Mark Lamb,Mark Lamb
Denny Lambert,2930,UFA,Denny Lambert,Denny Lambert
Robert Lang,2942,UFA,Robert Lang,Robert Lang
