ID,Name,BirthDate,Pos,NHL
celebma01,Macklin Celebrini,2006-06-13,F,SJS
cernaer01,Erik Černák,1997-05-28,D,TBL
cerrach01,Charlie Cerrato,2005-03-10,C,CAR
chaboth01,Thomas Chabot,1997-01-30,D,OTT
chadwno01,Noah Chadwick,2005-05-10,D,TOR
chaffmi01,Mitchell Chaffee,1998-01-26,F,TBL
chatfja01,Jalen Chatfield,1996-05-16,D,CAR
chernig01,Igor Chernyshov,2005-11-30,LW,SJS
cheslry01,Ryan Chesley,2004-02-27,D,WSH
chiarbe01,Ben Chiarot,1991-05-09,D,DET
chibrni01,Nikita Chibrikov,2003-02-16,RW,WPG
chinaye01,Yegor Chinakhov,2001-02-01,RW,CBJ
chishde01,Declan Chisholm,2000-01-12,D,WSH
chrisja01,Jake Christiansen,1999-09-12,D,CBJ
chromma01,Martin Chromiak,2002-08-20,RW,LAK
chychja01,Jakob Chychrun,1998-03-31,D,WSH
chytifi01,Filip Chytil,1999-09-05,C,VAN
ciharvo01,Vojtech Cihar,2007-03-29,LW,LAK
cirelan01,Anthony Cirelli,1997-07-15,C,TBL
cizikca01,Casey Cizikas,1991-02-27,C,NYI
clarada01,Damian Clara,2005-01-13,G,ANA
clarkbr02,Brandt Clarke,2003-02-09,D,LAK
cliftco01,Connor Clifton,1995-04-28,D,PIT
coghldy01,Dylan Coghlan,1998-02-19,D,---
colansa01,Sam Colangelo,2001-12-26,RW,ANA
coleia01,Ian Cole,1989-02-21,D,UTA
colembl01,Blake Coleman,1991-11-28,C,CGY
coltoro01,Ross Colton,1996-09-11,C,COL
commedr01,Drew Commesso,2002-07-19,G,CHI
comphj.01,J.T. Compher,1995-04-08,LW,DET
comrier01,Eric Comrie,1995-07-06,G,WPG
connetr01,Trevor Connelly,2006-02-28,F,VEG
connoky01,Kyle Connor,1996-12-09,LW,WPG
coolelo01,Logan Cooley,2004-05-04,C,UTA
cootebr01,Braeden Cootes,2007-02-09,C,VAN
copleph01,Pheonix Copley,1992-01-18,G,TBL
coppan01,Andrew Copp,1994-07-08,C,DET
cormilu01,Lukas Cormier,2002-03-27,D,VEG
coronma01,Matthew Coronato,2002-11-14,RW,CGY
cossase01,Sebastian Cossa,2002-11-21,G,DET
cottepa01,Paul Cotter,1999-11-16,C,NJD
cousini01,Nick Cousins,1993-06-20,C,OTT
coutuse01,Sean Couturier,1992-12-07,C,PHI
cowanea01,Easton Cowan,2005-05-20,RW,TOR
coylech01,Charlie Coyle,1992-03-02,C/RW,CBJ
cozendy01,Dylan Cozens,2001-02-09,C,OTT
crevilo01,Louis Crevier,2001-05-04,D,CHI
cristan01,Andrew Cristall,2005-02-04,LW,WSH
crosbsi01,Sidney Crosby,1987-08-07,C,PIT
crousla01,Lawson Crouse,1997-06-23,LW,UTA
crozima01,Maxwell Crozier,2000-04-19,D,TBL
cuyllwi01,William Cuylle,2002-02-05,LW,NYR
czataet01,Ethan Czata,2007-05-29,C,TBL
daccojo01,Joey Daccord,1996-08-19,G,SEA
dachco01,Colton Dach,2003-01-04,C,CHI
dachki01,Kirby Dach,2001-01-21,C,MTL
dadonev01,Evgenii Dadonov,1989-03-12,RW,NJD
dahlira01,Rasmus Dahlin,2000-04-13,D,BUF
danauph01,Phillip Danault,1993-02-24,C,LAK
danfobe01,Ben Danford,2006-02-06,D,TOR
danfoju01,Justin Danforth,1993-03-15,RW/C,BUF
daniena01,Nate Danielson,2004-09-27,C,DET
dawsni01,Nico Daws,2000-12-22,G,NJD
deangan01,Tony DeAngelo,1995-10-24,D,NYI
debrial01,Alex DeBrincat,1997-12-18,RW,DET
debruja01,Jake DeBrusk,1996-10-17,LW,VAN
delbelu01,Luca Del Bel Belluz,2003-11-10,C,CBJ
delgama01,Marc Del Gaizo,1999-10-11,D,MTL
dellaty01,Ty Dellandrea,2000-07-21,C,SJS
delmaet01,Ethan Del Mastro,2003-01-15,D,CHI
demeldy01,Dylan DeMelo,1993-05-01,D,WPG
demidiv01,Ivan Demidov,2005-12-10,RW,MTL
demkoth01,Thatcher Demko,1995-12-08,G,VAN
deshavi01,Vincent Desharnais,1996-05-29,D,SJS
deslani01,Nicolas Deslauriers,1991-02-22,LW,PHI
desmica01,Casey DeSmith,1991-08-13,G,DAL
desnoca01,Caleb Desnoyers,2007-04-11,C,UTA
devinja01,Jack Devine,2003-10-01,RW,FLA
dewarco01,Connor Dewar,1999-06-26,C,PIT
dickija01,Jason Dickinson,1995-07-04,C,CHI
dickisa01,Sam Dickinson,2006-06-07,D,SJS
dillobr01,Brenden Dillon,1990-11-13,D,NJD
dipiemi01,Michael DiPietro,1999-06-09,G,VAN
doanjo01,Josh Doan,2002-02-01,RW,BUF
dobesja01,Jakub Dobes,2001-05-27,G,MTL
dobsono01,Noah Dobson,2000-01-07,D,MTL
domima01,Max Domi,1995-03-02,LW,TOR
donatry01,Ryan Donato,1996-04-09,C,CHI
dorofpa01,Pavel Dorofeyev,2000-10-26,LW,VEG
dostalu01,Lukáš Dostál,2000-06-22,G,ANA
doughdr01,Drew Doughty,1989-12-08,D,LAK
dowdni01,Nic Dowd,1990-05-27,C,WSH
dragilu01,Lukas Dragicevic,2005-04-25,D,SEA
draisle01,Leon Draisaitl,1995-10-27,C,EDM
drouijo01,Jonathan Drouin,1995-03-28,LW,NYI
druryja01,Jack Drury,2000-02-03,C,COL
drysdja01,Jamie Drysdale,2002-04-08,D,PHI
duboipi01,Pierre-Luc Dubois,1998-06-24,LW,WSH
duchema01,Matt Duchene,1991-01-16,C,DAL
duclaan01,Anthony Duclair,1995-08-26,LW,NYI
dudaar01,Artem Duda,2004-04-08,D,UTA
duhaibr01,Brandon Duhaime,1997-05-22,RW,WSH
dukedy01,Dylan Duke,2003-03-04,LW,TBL
dumbama01,Mathew Dumba,1994-07-25,D,PIT
dumoubr01,Brian Dumoulin,1991-09-06,D,LAK
dunnvi02,Vince Dunn,1996-10-29,D,SEA
durzise01,Sean Durzi,1998-10-21,D,UTA
dvorach01,Christian Dvorak,1996-02-02,C,PHI
dvorsda01,Dalibor Dvorsky,2005-06-15,C,STL
eberljo01,Jordan Eberle,1990-05-15,RW,SEA
edmunjo01,Joel Edmundson,1993-06-28,D,LAK
edstrad01,Adam Edstrom,2000-10-12,C,NYR
edstrda01,David Edstrom,2005-02-18,C,VEG
edvinsi01,Simon Edvinsson,2003-02-05,D,DET
ehlerni01,Nikolaj Ehlers,1996-02-14,LW,CAR
eicheja01,Jack Eichel,1996-10-28,C,VEG
eiserco01,Cole Eiserman,2006-08-29,F,NYI
ekblaaa01,Aaron Ekblad,1996-02-07,D,FLA
ekholma01,Mattias Ekholm,1990-05-24,D,EDM
eklunvi01,Victor Eklund,2006-10-03,RW,NYI
eklunwi01,William Eklund,2002-10-12,LW,SJS
ekmanol01,Oliver Ekman-Larsson,1991-07-17,D,TOR
eliasga01,Gabriel Eliasson,2006-09-09,D,OTT
elickch01,Charlie Elick,2006-01-17,D,CBJ
ellerla01,Lars Eller,1989-05-08,C,OTT
ellisco01,Colten Ellis,2000-10-05,G,BUF
emberty01,Ty Emberson,2000-05-23,D,EDM
emeryer01,Eric Emery,2006-03-30,D,NYR
engluan01,Andreas Englund,1996-01-21,D,OTT
engstad01,Adam Engstrom,2003-11-17,D,MTL
engvapi01,Pierre Engvall,1996-05-31,LW,NYI
epperkr01,Kristian Epperson,2006-05-16,LW,LAK
eriksfi01,Filip Eriksson,2004-11-05,C,MTL
eriksjo02,Joel Eriksson Ek,1997-01-29,C/LW,MIN
eriksli01,Linus Eriksson,2006-03-23,F,FLA
erssosa01,Samuel Ersson,1999-10-20,G,PHI
evanglu01,Luke Evangelista,2002-02-21,RW,NSH
evansja02,Jake Evans,1996-06-02,C/RW,MTL
evansry01,Ryker Evans,2001-12-13,D,SEA
eyssimi01,Michael Eyssimont,1996-09-09,C,BOS
fabbrda01,Dante Fabbro,1998-06-20,D,CBJ
fabbrro01,Robby Fabbri,1996-01-22,C,STL
faberbr01,Brock Faber,2002-08-22,D,MIN
faksara01,Radek Faksa,1994-01-09,C,DAL
fantiad01,Adam Fantilli,2004-10-12,C,CBJ
farabjo01,Joel Farabee,2000-02-25,LW,CGY
farinjo01,John Farinacci,2001-02-14,C,UTA
faulkju01,Justin Faulk,1992-03-20,D,STL
feherma01,Martin Fehérváry,1999-10-06,D,WSH
fernsme01,Melvin Fernstrom,2006-02-28,F,VAN
ferrama01,Mario Ferraro,1998-09-17,D,SJS
fialake01,Kevin Fiala,1996-07-22,LW,LAK
fiddlbl01,Blake Fiddler,2007-07-09,D,SEA
finkai01,Aiden Fink,2004-11-24,RW,NSH
finleja01,Jack Finley,2002-09-02,C,TBL
firkuja01,Jagger Firkus,2004-04-29,RW,SEA
fleurha01,Haydn Fleury,1996-07-08,D,WPG
foegewa01,Warren Foegele,1996-04-01,LW,LAK
foersty01,Tyson Foerster,2002-01-18,RW,PHI
foligma01,Marcus Foligno,1991-08-10,LW,MIN
foligni01,Nick Foligno,1987-10-31,LW,CHI
forbode01,Derek Forbort,1992-03-04,D,VAN
forsban01,Anton Forsberg,1992-11-27,G,LAK
forsbfi01,Filip Forsberg,1994-08-13,C,NSH
forslgu02,Gustav Forsling,1996-06-12,D,FLA
fortedr01,Drew Fortescue,2005-04-28,D,NYR
fowleca01,Cam Fowler,1991-12-05,D,STL
fowleja01,Jacob Fowler,2004-11-24,G,MTL
foxad01,Adam Fox,1998-02-17,D,NYR
franket01,Ethen Frank,1998-02-05,F,WSH
fredetr01,Trent Frederic,1998-02-11,C,EDM
freijal01,Alfons Freij,2006-02-12,D,WPG
frolose01,Semyon Frolov,2007-01-17,G,CAR
frondan01,Anton Frondell,2007-05-07,C,CHI
frostmo01,Morgan Frost,1999-05-14,C,CGY
gadjojo01,Jonah Gadjovich,1998-10-12,LW,FLA
gajanad01,Adam Gajan,2004-05-06,G,CHI
gallabr01,Brendan Gallagher,1992-05-06,RW,MTL
garlaco01,Conor Garland,1996-03-11,RW,VAN
gastrmi01,Milton Gastrin,2007-06-02,C,WSH
gatcoma01,Marc Gatcomb,1999-07-22,F,NYI
gauchna01,Nathan Gaucher,2003-11-06,C,ANA
gaudead01,Adam Gaudette,1996-10-03,C,SJS
gaudrfr01,Frédérick Gaudreau,1993-05-01,C,SEA
gauthcu01,Cutter Gauthier,2004-01-19,LW,ANA
gauthet01,Ethan Gauthier,2005-01-26,RW,TBL
gavrivl01,Vladislav Gavrikov,1995-11-21,D,NYR
geekico01,Conor Geekie,2004-05-05,C,TBL
geekimo01,Morgan Geekie,1998-07-20,C,BOS
genboed01,Eddie Genborg,2007-04-20,RW,DET
georgal01,Alexandar Georgiev,1996-02-10,G,BUF
georgca01,Carter George,2006-05-20,G,LAK
georgis01,Isaiah George,2004-02-15,D,NYI
gibsojo02,John Gibson,1993-07-14,G,DET
gilbede01,Dennis Gilbert,1996-10-30,D,CHI
gillsp01,Spencer Gill,2006-08-17,D,PHI
girarsa01,Samuel Girard,1998-05-12,D,COL
girgeze01,Zemgus Girgensons,1994-01-05,C,TBL
giroucl01,Claude Giroux,1988-01-12,C/LW,OTT
glassco01,Cody Glass,1999-04-01,C,NJD
glendlu01,Luke Glendening,1989-04-28,C,NJD
goligal01,Alex Goligoski,1985-07-30,D,PIT
goncaga01,Gage Goncalves,2001-01-16,C,TBL
goodrba01,Barclay Goodrow,1993-02-26,RW,SJS
gostish01,Shayne Gostisbehere,1993-04-20,D,CAR
gourdya01,Yanni Gourde,1991-12-15,C,TBL
grafco01,Collin Graf,2002-09-21,F,SJS
granlmi01,Mikael Granlund,1992-02-26,C,ANA
granshe01,Helge Grans,2002-05-10,D,LAK
gravery01,Ryan Graves,1995-05-21,D,PIT
greavje01,Jet Greaves,2001-03-30,G,CBJ
grebeni01,Nikita Grebenkin,2003-05-02,RW,PHI
greenjo02,Jordan Greenway,1997-02-16,LW,BUF
greenli01,Liam Greentree,2006-01-01,F,LAK
greenry01,Ryan Greene,2003-10-21,C,CHI
greeraj01,A.J. Greer,1996-12-14,LW,FLA
greigri01,Ridly Greig,2002-08-08,C,OTT
gridima01,Matvei Gridin,2006-03-01,F,CGY
gritsar01,Arseny Gritsyuk,2001-03-15,RW,NJD
grubaph01,Philipp Grubauer,1991-11-25,G,SEA
grundca01,Carl Grundström,1997-12-01,RW,PHI
grzelma01,Matt Grzelcyk,1994-01-05,D,CHI
gudasra01,Radko Gudas,1990-06-05,D,ANA
gudbrer01,Erik Gudbranson,1992-01-07,D,CBJ
guentdy01,Dylan Guenther,2003-04-10,RW,UTA
guentja01,Jake Guentzel,1994-10-06,C,TBL
guhleka01,Kaiden Guhle,2002-01-18,D,MTL
gulyami01,Mikhail Gulyayev,2005-04-26,D,COL
gustaer02,Erik Gustafsson,1992-03-14,D,EDM
gustafi01,Filip Gustavsson,1998-06-07,G,MIN
hagelbr01,Brandon Hagel,1998-08-27,LW,TBL
hagemi01,Michael Hage,2006-04-14,F,MTL
hagenja01,James Hagens,2006-11-03,C,BOS
hagueni01,Nicolas Hague,1998-12-05,D,NSH
hallafi01,Filip Hallander,2000-06-29,C,PIT
hallist01,Stephen Halliday,2002-07-02,C,OTT
hallqth01,Theodor Hallquisth,2007-06-14,D,MIN
hallta02,Taylor Hall,1991-11-14,LW,CAR
halttka01,Kasper Halttunen,2005-06-07,RW,SJS
hamblja01,James Hamblin,1999-04-27,F,---
hameele01,Lenni Hameenaho,2004-11-07,RW,NJD
hamildo01,Dougie Hamilton,1993-06-17,D,NJD
hamontr01,Travis Hamonic,1990-08-16,D,DET
hanifno01,Noah Hanifin,1997-01-25,D,VEG
hanlejo01,Joel Hanley,1991-06-08,D,CGY
harleth01,Thomas Harley,2001-08-19,D,DAL
hartca01,Carter Hart,1998-08-13,G,PHI
hartmry01,Ryan Hartman,1994-09-20,RW,MIN
hathaga01,Garnet Hathaway,1991-11-23,RW,PHI
haulaer01,Erik Haula,1991-03-23,LW,NSH
hayeske01,Kevin Hayes,1992-05-08,RW,PIT
haytoba01,Barrett Hayton,2000-06-09,C,UTA
hedmavi01,Victor Hedman,1990-12-18,D,TBL
heidtri01,Riley Heidt,2005-03-25,C,MIN
heineda01,Danton Heinen,1995-07-05,C/LW,PIT
heineem01,Emil Heineman,2001-11-16,LW,NYI
heiskmi01,Miro Heiskanen,1999-07-18,D,DAL
helenko01,Konsta Helenius,2006-05-11,F,BUF
helensa02,Samuel Helenius,2002-11-26,C,LAK
helleco01,Connor Hellebuyck,1993-05-19,G,WPG
helledr01,Drew Helleson,2001-03-26,D,ANA
hemmiem01,Emil Hemming,2006-06-27,F,DAL
henriad01,Adam Henrique,1990-02-06,C,EDM
hensllo01,Logan Hensler,2006-10-14,D,OTT
hertlto01,Tomáš Hertl,1993-11-12,C,VEG
hildede01,Dennis Hildeby,2001-08-19,G,TOR
hillad01,Adin Hill,1996-05-11,G,VEG
hinosvi01,Vinnie Hinostroza,1994-04-03,C,MIN
hintzro01,Roope Hintz,1996-11-17,LW,DAL
hischni01,Nico Hischier,1999-01-04,C,NJD
hoferjo01,Joel Hofer,2000-07-30,G,STL
hoglani01,Nils Höglander,2000-12-20,LW,VAN
hollju01,Justin Holl,1992-01-30,D,CHI
hollody01,Dylan Holloway,2001-09-23,C,STL
holmbpo01,Pontus Holmberg,1999-03-09,RW,TBL
holmssi01,Simon Holmström,2001-05-24,RW,NYI
holtzal01,Alexander Holtz,2002-01-23,RW,VEG
honzesa01,Samuel Honzek,2004-11-12,LW,CGY
horcowi01,William Horcoff,2007-01-23,C,PIT
horvabo01,Bo Horvat,1995-04-05,C,NYI
howaris01,Isaac Howard,2004-03-30,LW,EDM
howdebr01,Brett Howden,1998-03-29,C,VEG
howeta01,Tanner Howe,2005-11-28,F,PIT
hrabami01,Michael Hrabal,2005-01-20,G,UTA
hronefi01,Filip Hronek,1997-11-02,D,VAN
hryckju01,Justin Hryckowian,2001-02-23,F,DAL
huberjo01,Jonathan Huberdeau,1993-06-04,LW,CGY
hugheja03,Jack Hughes,2001-05-14,C,NJD
hughelu01,Luke Hughes,2003-09-09,D,NJD
hughequ01,Quinn Hughes,1999-10-14,D,VAN
hutsoco01,Cole Hutson,2006-06-28,D,WSH
hutsola01,Lane Hutson,2004-02-14,D,MTL
hutsoqu01,Quinn Hutson,2002-01-01,F,EDM
huttobe01,Ben Hutton,1993-04-20,D,VEG
hymanza01,Zach Hyman,1992-06-09,LW,EDM
hyryar01,Arttu Hyry,2001-04-06,F,DAL
iafalal01,Alex Iafallo,1993-12-21,C,WPG
iginlti01,Tij Iginla,2006-08-04,C,UTA
ihswoja01,Jakob Ihs Wozniak,2007-02-01,RW,VEG
imamabo01,Bokondji Imama,1996-08-03,LW,TBL
ingraco01,Connor Ingram,1997-03-31,G,TBL
ioriovi01,Vincent Iorio,2002-11-14,D,SJS
ivaniv01,Ivan Ivan,2002-08-20,F,COL
ivankja01,Jack Ivankovic,2007-05-22,G,NSH
jankoma01,Mark Jankowski,1994-09-13,C,CAR
janmama02,Mattias Janmark,1992-12-08,C,EDM
jansslu01,Ludvig Jansson,2003-12-27,D,FLA
jarnkca01,Calle Järnkrok,1991-09-25,C,TOR
jarvise01,Seth Jarvis,2002-02-01,C/RW,CAR
jeannta01,Tanner Jeannot,1997-05-29,F,BOS
jellvos01,Oskar Jellvik,2003-02-08,LW,BOS
jennebo01,Boone Jenner,1993-06-15,C,CBJ
jenseni02,Nick Jensen,1990-09-21,D,OTT
jiricad01,Adam Jiricek,2006-06-28,D,STL
jiricda01,David Jiříček,2003-11-28,D,MIN
johanal01,Albert Johansson,2001-01-04,D,DET
johanjo03,Jonas Johansson,1995-09-19,G,TBL
johanma03,Marcus Johansson,1990-10-06,C/W,MIN
johnsja02,Jack Johnson,1987-01-13,D,CAR
johnske01,Kent Johnson,2002-10-18,C,CBJ
johnsro02,Ross Johnston,1994-02-18,LW,ANA
johnsry03,Ryan Johnson,2001-07-24,D,BUF
johnswy01,Wyatt Johnston,2003-05-14,C,DAL
jokihhe01,Henri Jokiharju,1999-06-17,D,BOS
jonesca01,Caleb Jones,1997-06-06,D,PIT
jonesma03,Max Jones,1998-02-17,LW,ANA
jonesse01,Seth Jones,1994-10-03,D,FLA
jonsssa01,Samuel Jonsson,2003-12-15,G,EDM
josepma01,Mathieu Joseph,1997-02-09,RW,STL
joseppi01,Pierre-Olivier Joseph,1999-07-01,D,VAN
joshuda01,Dakota Joshua,1996-05-15,C,TOR
josiro01,Roman Josi,1990-06-01,D,NSH
juulsno01,Noah Juulsen,1997-04-02,D,PHI
kadrina01,Nazem Kadri,1990-10-06,C,CGY
kahkoka01,Kaapo Kähkönen,1996-08-16,G,MIN
kaisewy01,Wyatt Kaiser,2002-07-31,D,CHI
kakkoka01,Kaapo Kakko,2001-02-13,RW,SEA
kaliyar01,Arthur Kaliyev,2001-06-26,RW,OTT
kampfda01,David Kämpf,1995-01-12,C,TOR
kaneev01,Evander Kane,1991-08-02,LW,VAN
kanepa01,Patrick Kane,1988-11-19,RW,DET
kantsro01,Roman Kantserov,2004-09-20,RW,CHI
kapanka01,Kasperi Kapanen,1996-07-23,RW,EDM
kapanol01,Oliver Kapanen,2003-07-29,C,MTL
kapriki01,Kirill Kaprizov,1997-04-26,LW,MIN
karlser01,Erik Karlsson,1990-05-31,D,PIT
karlsli01,Linus Karlsson,1999-11-16,C,VAN
karlswi01,William Karlsson,1993-01-08,C,VEG
kartyty01,Tye Kartye,2001-04-30,F,SEA
kaspema01,Marco Kasper,2004-04-08,C,DET
kastema01,Mark Kastelic,1999-03-11,C,BOS
kellecl01,Clayton Keller,1998-07-29,C,UTA
kellypa01,Parker Kelly,1999-06-14,F,COL
kemeljo01,Joakim Kemell,2004-04-27,RW,NSH
