hockeydb,name
2894,Daniel Lacroix
2895,Eric Lacroix
2898,Randy Ladouceur
2900,Nathan Lafayette
2925,Mike Lalor
2928,Mark Lamb
2930,Denny Lambert
2942,Robert Lang
2956,Daniel LaPerriere
2957,Ian Laperriere
2959,Claude Lapointe
2962,Martin Lapointe
2973,Igor Larionov
2978,Steve Larmer
2986,Steve Larouche
3001,Janne Laukkanen
3005,Paul Laus
3019,Mark Lawrence
3036,John Leclair
3037,Scott Lagrand
3043,Steve Leach
3048,Stephan Lebeau
3061,Eric Lecompte
3067,Grant Ledyard
3070,Gary Leeman
3071,Brian Leetch
3077,Sylvain Lefebvre
3081,Manny Legace
3088,Jere Lehtinen
3102,Claude Lemieux
3104,Jocelyn Lemieux
3105,Mario Lemieux
3116,Francois Leroux
3118,Curtis Leschyshyn
3130,Scott Levins
3145,Doug Lidster
3146,Nicklas Lidstrom
3149,Chris Lindberg
3152,Trevor Linden
3157,Brett Lindros
3158,Eric Lindros
3160,Bill Lindsay
3177,Darcy Loewen
3187,Claude Loiselle
3188,Andrei Lomakin
3191,Brian Loney
3192,Troy Loney
3216,Kevin Lowe
3217,Dave Lowry
3222,Craig Ludwig
3237,Jyrki Lumme
3266,Doug MacDonald
3282,Al MacInnis
3293,John MacLean
3305,Craig MacTavish
3308,Norm Maciver
3312,Jamie Macoun
3313,John Madden
3314,Darrin Madeley
3334,Sergei Makarov
3335,Mikko Makela
3339,Vladimir Malakhov
3348,Dean Malkoc
3350,Troy Mallette
3360,Kirk Maltby
3363,Kent Manderville
3372,Dave Manson
3383,Todd Marchant
3385,Bryan Marchment
3393,Chris Marinucci
3401,Daniel Marois
3412,Grant Marshall
3415,Jason Marshall
3428,Matt Martin1
3440,Steve Martins
3461,Stephane Matteau
3463,Jamie Matthews
3473,Richard Matvichuk
3479,Alan May
3480,Brad May
3492,Chris McAlpine
3494,Dean McAmmond
3500,Jason McBain
3513,Sandy McCarthy
3515,Darren McCarty
3518,Trent McCleary
3552,Shawn McEachern
3565,Ryan McGill
3576,Marty McInnis
3578,John McIntyre
3583,Randy McKay
3595,Jim McKenzie
3605,Kirk McLean
3608,Jamie McLennan
3613,Dave Mcllwain
3632,Mike McPhee
3636,Basil McRae
3644,Marty McSorley
3664,Scott Mellanby
3687,Joby Messier
3688,Mark Messier
3717,Corey Millen
3719,Aaron Miller
3728,Kelly Miller
3729,Kevin Miller
3730,Kip Miller
3745,Boris Mironov
3746,Dmitri Mironov
3755,Mike Modano
3757,Jaroslav Modry
3761,Sandy Moger
3762,Alexander Mogilny
3769,Randy Moller
3771,Sergio Momesso
3779,Jim Montgomery
3781,Andy Moog
3790,Jayson More
3806,Brendan Morrison
3838,Joe Mullen
3839,Kirk Muller
3845,Craig Muni
3852,Gord Murphy
3853,Joe Murphy
3856,Larry Murphy
3863,Glen Murray
3869,Rem Murray
3872,Troy Murray
3873,Dana Murzyn
3874,Frank Musil
3876,Jason Muzzatti
3879,Brantt Myhres
3891,Jason Woolley
3893,John Slaney
3897,Pat Peake
3899,Rob Zamuner
3912,Markus Naslund
3913,Mats Naslund
3921,Andrei Nazarov
3923,Stanislav Neckar
3927,Petr Nedved
3928,Mike Needham
3930,Cam Neely
3941,Sergei Nemchinov
3958,Bernie Nicholls
3964,Rob Niedermayer
3965,Scott Niedermayer
3967,Jeff Nielsen
3969,Joe Nieuwendyk
3973,Janne Niinimaa
3974,Andrei Nikolishin
3983,Owen Nolan
3987,Brian Noonan
3998,Mattias Norstrom
4006,Jeff Norton
4015,Teppo Numminen
4017,Michael Nylander
4033,Sean O'Donnell
4043,Jeff O'Neill
4052,Adam Oates
4058,Lyle Odelein
4060,Jeff Odgers
4061,Gino Odjick
4067,Roman Oksiuta
4069,Fredrik Olausson
4070,Ed Olczyk
4072,David Oliver
4075,Krzysztof Oliwa
4088,Mark Osborne
4089,Chris Osgood
4095,Joel Otto
4104,Sandis Ozolinsh
4108,Jim Paek
4119,Zigmund Palffy
4167,Greg Paslawski
4170,Steve Passmore
4181,James Patrick
4185,Colin Patterson
4204,Rob Pearson
4205,Scott Pearson
4207,Mike Peca
4210,Denis Pederson
4212,Tom Pederson
4220,Scott Pellerin
4223,Ville Peltonen
4224,Mike Peluso1
4231,Chad Penney
4250,Yanic Perreault
4264,Michel Petit
4266,Oleg Petrov
4268,Robert Petrovicky
4281,Michel Picard
4289,Frank Pietrangelo
4290,Rich Pilon
4299,Lance Pitlick
4301,Michal Pivonka
4308,Derek Plante
4322,Steve Poapst
4325,Shjon Podein
4328,Rudy Poeschek
4348,Peter Popovic
4356,Felix Potvin
4360,Dave Poulin
4362,Patrick Poulin
4379,Wayne Presley
4391,Bob Probert
4393,Martin Prochazka
4395,Vitali Prokhorov
4397,Chris Pronger
4403,Vaclav Prospal
4415,Daren Puppa
4420,Jamie Pushor
4427,Dan Quinn
4430,Deron Quint
4431,Stephane Quintal
4433,Andre Racicot
4436,Yves Racine
4438,Brian Rafalski
4450,Mike Ramsey
4452,Bill Ranford
4455,Paul Ranheim
4459,Mike Rathje
4465,Rob Ray
4478,Mark Recchi
4499,Eldon Reddick
4508,Joe Reekie
4509,Jeff Reese
4517,Robert Reichel
4518,Dave Reid
4529,Mikael Renberg
4537,Samantha Levine
4538,Pascal Rheaume
4539,Damian Rhodes
4543,Mike Ricci
4546,Steven Rice
4556,Luke Richardson
4558,Stephane Richer
4562,Barry Richter
4564,Mike Richter
4566,Mike Ridley
4591,Mario Roberge
4596,David Roberts
4598,Gary Roberts
4616,Luc Robitaille
4629,Jeremy Roenick
4636,Jon Rohloff
4643,Brian Rolston
4654,Cliff Ronning
4673,Bob Rouse
4675,Dominic Roussel
4688,Patrick Roy
4697,Martin Rucinsky
4702,Darren Rumble
4708,Cam Russell
4715,Christian Ruuttu
4718,Warren Rychel
4729,Joe Sacco
4739,Joe Sakic
4744,Kjell Samuelsson
4745,Ulf Samuelsson
4749,Geoff Sanderson
4755,Jim Sandlak
4758,Tomas Sandstrom
4767,Yves Sarault
4786,Brian Savage
4789,Denis Savard
4813,Mathieu Schneider
4830,Corey Schwab
4863,Teemu Selanne
4869,Alexander Semak
4873,Anatoli Semenov
4881,Brent Severyn
4882,Pierre Sevigny
4888,Brendan Shanahan
4890,Darrin Shannon
4891,Darryl Shannon
4894,Jeff Shantz
4896,Vadim Sharifijanov
4904,Brad Shaw
4905,David Shaw
4920,Ray Sheppard
4930,Steve Shields
4943,Mikhail Shtalenkov
4951,Peter Sidorkiewicz
4962,Chris Simon
4968,Craig Simpson
4970,Reid Simpson
4989,Tommy Sjodin
4991,Jarrod Skalde
5002,Brian Skrudland
5006,Jiri Slegr
5010,Blake Sloan
5018,Richard Smehlik
5026,Brandon Smith
5044,Jason Smith
5060,Bryan Smolinski
5063,Brad Smyth
5064,Greg Smyth
5069,Chris Snell
5073,Garth Snow
5078,Tommy Soderstrom
5100,Mike Speer
5131,Steve Staios
5132,Nick Stajduhar
5144,Paul Stanton
5145,Mike Stapleton
5156,Peter Stastny
5158,Robb Stauber
5161,Thomas Steen
5175,Ronnie Stern
5177,Kevin Stevens
5180,Scott Stevens
5181,Jeremy Stevenson
5183,Turner Stevenson
5188,Cam Stewart
5203,Cory Stillman
5207,Alek Stojanov
5213,Jim Storm
5221,Martin Straka
5233,Jozef Stumpel
5244,Mike Sullivan
5252,Mats Sundin
5253,Niklas Sundstrom
5257,Gary Suter
5260,Brent Sutter
5264,Rich Sutter
5265,Ron Sutter
5267,Ken Sutton
5272,Petr Svoboda1
5275,Bob Sweeney
5276,Don Sweeney
5277,Tim Sweeney
5281,Darryl Sydor
5284,Michal Sykora
5290,Rick Tabaracci
5291,Peter Taglianetti
5300,Chris Tamer
5305,John Tanner
5309,Patrice Tardif
5316,Chris Taylor
5318,Dave Taylor
5360,Chris Terreri
5366,Chris Therien
5371,Jocelyn Thibault
5377,Steve Thomas
5391,Scott Thornton
5400,Esa Tikkanen
5406,Kimmo Timonen
5407,Mark Tinordi
5411,German Titov
5414,Keith Tkachuk
5417,Rick Tocchet
5419,Kevin Todd
5435,Mike Torchia
5449,Dan Trebil
5450,Andrei Trefilov
5483,Nikolai Tsulygin
5484,Vladimir Tsyplakov
5487,John Tucker
5489,Ron Tugnutt
5492,Marko Tuomainen
5494,Darren Turcotte
5495,Pierre Turgeon
5496,Sylvain Turgeon
5508,Oleg Tverdovsky
5509,Tony Twist
5515,Igor Ulanov
5521,Stefan Ustorf
5531,Rob Valicevic
5534,Garry Valk
5536,Darren Van Impe
5541,John Vanbiesbrouck
5542,Ryan Vandenbussche
5548,Jarkko Varvio
5550,Dennis Vaske
5565,Pat Verbeek
5568,Mike Vernon
5577,Vesa Viitakoski
5597,David Volek
5602,Jan Vopat
5605,Vladimir Vujtek
5607,Mick Vukota
5608,David Vyborny
5610,Jimmy Waite
5611,Darcy Wakaluk
5619,Scott Walker
5632,Wes Walz
5635,Aaron Ward
5636,Dixon Ward
5642,Todd Warriner
5658,Tim Watters
5672,Doug Weight
5676,Eric Weinrich
5687,Brad Werenka
5690,Glen Wesley
5708,Kay Whitmore
5710,Ray Whitney
5728,David Wilkie
5730,Neil Wilkinson
5736,David Williams
5760,Ron Wilson
5776,Craig Wolanin
5781,Dody Wood
5782,Randy Wood
5803,Ken Wregget
5808,Tyler Wright
5814,Terry Yake
5819,Alexei Yashin
5822,Trent Yawney
5825,Juha Ylonen
5839,Paul Ysebaert
5843,Dmitri Yushkevich
5844,Steve Yzerman
5846,Zarley Zalapski
5855,Valeri Zelepukin
5858,Rob Zettler
5859,Peter Zezel
5860,Alexei Zhamnov
5861,Alexei Zhitnik
5862,Sergei Zholtok
5867,Doug Zmolek
5871,Rick Zombo
5872,Sergei Zubov
5886,Shaun Van Allen
5923,Steve Smith
5928,Antti Aalto
5935,Keith Acton
5949,Peter Ahola
5955,Tommy Albelin
6002,Jean-Francois Labbe
6059,Jamal Mayers
6200,Manny Fernandez
6201,Jamie Storr
6203,Brendan Witt
6205,Bryan McCabe
6206,Marty Murray
6207,Richard Park
6210,Jay Pandolfo
6214,Chris O'Sullivan
6215,Jamie Langenbrunner
6216,Kevyn Adams
6237,Greg Adams
6386,Darren Langdon
6388,Peter White
6397,Patrick Traverse
6406,Dan Bylsma
6740,Tomas Vlasak
6741,Josef Marha
6742,Zdenek Nedved
6746,Mathias Johansson
6747,Johan Davidsson
6911,Ian Moran
6952,Evgeni Ryabchikov
6953,Maxim Sushinski
7933,Scott Young
9992,Mariusz Czerkawski
10162,Denis Tsygurov
10170,Rory Fitzpatrick
10172,David Roche
10712,Bryan Helmer
10717,Dennis Bonvie
10719,Greg De Vries
10722,Christian Matte
10723,Craig Rivet
10728,Larry Courville
10760,Petr Sykora1
10766,Bruce Gardiner
10767,Andrei Vasilyev
10784,Yan Golubovsky
11084,Konstantin Shafronov
11264,Ryan Smyth
11358,Jason Wiemer
11359,Nolan Baumgartner
11360,Wade Belak
11361,Ethan Moreau
11362,Eric Fichaud
11363,Wayne Primeau
11364,Brad Brown
11365,Chris Dingman
11367,Dan Cloutier
11373,Dwayne Roloson
11374,Matt Johnson
11376,Sergei Berezin
11378,Patrik Juhlin
11379,Sean Pronger
11394,Jason Podollan
11395,Daniel Goneau
11396,Christian LaFlamme
11397,Daymond Langkow
11398,Marek Malik
12125,Craig Johnson
13060,Jim Carey
13118,Joaquin Gage
13120,Ladislav Benysek
13605,Jeff Toms
13608,Domenic Pittis
13609,Mike Prokopec
13624,Todd Reirden
13627,Peter Skudra
13683,Sami Helenius
13686,Todd Simpson
13781,Rich Parent
13787,Chris Murray
13788,Scott Fraser
13789,Marc Lamothe
14072,Eric Cairns
14078,Roman Vopat
14079,Vaclav Varada
14080,Jose Theodore
14082,Fredrik Modin
14084,Mattias Ohlund
14085,Jason Holland
14090,Sheldon Souray
14091,Rhett Warrener
14094,Radek Dvorak
14095,Rumun Ndur
14096,Jamie Rivers
14100,Jorgen Jonsson
14101,Alyn McCauley
14103,Daniel Tjarnqvist
14105,Milan Hejduk
14107,Dave Scatchard
14109,Miroslav Guren
14111,Sylvain Blouin
14112,Bryan Berard
14115,Curtis Brown
14129,Mike Crowley
14133,Ryan Kraft
14402,Nathan Dempsey
14404,Ken Belanger
14456,Marty Reasoner
14457,Bubba Berenzweig
14458,Erik Rasmussen
14461,Brian Boucher
14462,Wyatt Smith
14463,Maxim Kuznetsov
14465,Dmitri Nabokov
14466,Wade Redden
14467,Jason Doig
14468,Jeff Ware
14469,Brad Larsen
14470,Jarome Iginla
14471,Christian Dube
14472,Mike McBain
14474,Eric Daze
14475,Darcy Tucker
14476,Shean Donovan
14931,Steve Rucchin
15445,Todd White
15566,Alexander Selivanov
15567,Jamie Allison
15569,Petr Cajanek
15570,Jan Hlavac
15571,Ladislav Kohn
15573,Vitali Yachmenev
15578,Magnus Svensson
15579,Robert Svehla
15580,Tommy Salo
15582,Chris Wells
15586,Jussi Markkanen
15587,Miikka Kiprusoff
15588,Jere Karalahti
15590,Martti Jarventie
15601,Miika Elomo
15602,Petr Buzek
15605,Marc Savard
15609,Sergei Samsonov
15967,Bryan Muir
15973,Eric Boguniecki
15992,Per Svartvadet
15994,Dick Tarnstrom
15995,P.J. Axelsson
16000,Daniel Briere
16001,Justin Kurtz
16003,Jean-Sebastien Giguere
16282,Alexei Yegorov
16292,Billy Tibbetts
16297,Rob Tallas
16305,Pascal Trepanier
16316,Patrick Lalime
16355,Scott Ferguson
16364,Steve Washburn
16367,Miroslav Satan
16372,Mike Maneluk
16373,Norm Maracle
16376,Stacy Roest
16380,Stephane Yelle
16381,Landon Wilson
16388,Scott Nichol
16396,Lonny Bohonos
16592,Teemu Riihijarvi
16594,Tomi Kallio
16595,Vesa Toskala
16597,Aki-Petteri Berg
16603,Per Gustafsson
16605,Marcus Nilson
17657,Terry Ryan
17658,Steve Kelly
17659,Brad Church
17660,Chad Kilger
17661,Shane Doan
17664,Jay McKee
17666,Marc Moro
17668,Tyler Moss
17671,Marc Chouinard
17673,Donald MacLean
17873,Chris Clark
17929,Scott Langkow
17930,Nolan Pratt
17950,Shawn Heins
18067,Martin St. Louis
18068,Eric Perrin
18081,Tim Thomas
18094,Ray Giroux
18172,Dean Sylvester
18279,Dan McGillis
18293,Joe Hulbig
18514,Daniel Alfredsson
18515,Kyle McLaren
18609,Tomas Vokoun
18614,Serge Aubin
18617,Aaron Downey
18620,David Nemirovsky
18621,Kevin Weekes
18622,Sebastien Bordeleau
18623,Paul Healey
18624,Patrick Boileau
18625,Andre Roy
18626,Mike Wilson
18629,Andreas Johansson
18630,Jason Strudwick
18826,Ruslan Salei
18938,Anders Myrvold
18939,Mathieu Dandenault
18940,Marcus Ragnarsson
18942,Ricard Persson
18943,Leif Rohlin
19006,Steve Webb
19097,Johan Hedberg
19104,Andreas Dackell
19107,Tomas Holmstrom
19131,Espen Knutsen
19175,Mika Alatalo
19180,Petri Varis
19188,Petteri Nummelin
19200,Byron Ritchie
19283,Pavel Torgayev
19300,Brett McLean
19301,Daniel Cleary
19303,Arron Asham
19304,Daniel Corso
19307,Josh Holden
19310,Zenith Komarniski
19311,Chris Phillips
19313,Cory Sarich
19317,Joey Tetarenko
19319,Mathieu Garon
19320,Marc Denis
19321,Denis Gauthier
19322,Jamie Wright
19323,Mike Watt
19325,Hnat Domenichelli
19328,Marek Posmyk
19331,Ales Pisa
19334,Toni Lydman
19335,Alexei Morozov
19341,Tom Poti
19344,Peter Schaefer
19345,Martin Biron
19346,Sean Brown
19347,Brad Isbister
19350,Georges Laraque
19351,Chris McAllister
19354,Nathan Perrott
19359,Mike Leclerc
19360,Shane Willis
19368,Josh Green
19369,Chris Hajt
19371,Dan LaCouture
19374,Andrei Zyuzin
19376,Jeff Cowan
20194,Matt Bradley
20196,Jan Bulis
20198,Boyd Devereaux
20200,J.P. Dumont
20201,Matt Higgins
20202,Craig Hillier
20203,Dan Focht
20208,Remi Royer
20209,Jaroslav Svejkovsky
20211,Jesse Wallin
20213,Lance Ward
20431,Ryan Johnson1
20488,Alexander Korolyuk
20491,Samuel Pahlsson
21469,Patrik Elias
21473,Pavel Trnka
21474,Frank Banham
21479,Eric Landry
21486,Eric Messier
21489,Colin Forbes
21494,Richard Zednik
21497,Kevin Sawyer
21499,Rocky Thompson
21502,Yannick Tremblay
21511,Tyson Nash
21512,Bert Robertsson
21513,Brent Sopel
21514,Christer Olsson
21515,Harry York
21547,Garrett Burnett
21572,Glen Metropolit
21738,Sergei Gusev
21739,Robert Dome
21941,Mike Johnson
21984,Bates Battaglia
21996,John Grahame
21999,Randy Robitaille
22001,Dan Boyle
22015,Bill Muckalt
22016,Matt Herr
22017,Greg Crozier
22022,Marty Turco
22025,Mike York
22031,Bryan Adams
22067,Joe Corvo
22104,Jean-Marc Pelletier
22120,Steve Sullivan
22501,Shawn Bates
22502,Mike Grier
22548,Steve McKenna
22567,Hal Gill
22583,Clarke Wilm
22601,Antti Laaksonen
22629,Brad Lukowich
22630,Roman Turek
22706,Sergei Vyshedkevich
22748,Eric Houde
22834,Vladimir Vorobiev
22840,Craig Millar
22894,Jan Hrdina
22895,Sven Butenschon
22927,Lasse Pirjeta
22933,Shane Hnidy
22978,Alexandre Volchkov
22979,Daniel Tkaczuk
23003,Francis Bouillon
23035,Robert Esche
23046,Jesse Boulerice
23060,Brian Willsie
23090,Serge Payer
23251,Mattias Timander
23252,Dainius Zubrus
23320,Ben Clymer
23560,Richard Jackman
23708,Kai Nurminen
23710,Joe Thornton
23711,Patrick DesRochers
23713,Nick Boynton
23715,J.F. Fortin
23718,Mike Van Ryn
23719,Scott Barney
23720,Harold Druken
23724,Patrick Marleau
23725,Jeremy Reich
23726,Jason Ward
23728,Filip Kuba
23898,Jean-Yves Leroux
23900,D.J. Smith
23902,John Jakopin
23903,Frederic Henry
23904,Matt Cullen
23908,Eric Boulton
23910,Andy Delmore
23922,Derek Morris
23924,Danil Markov
24075,Brian Campbell
24078,Brent Johnson1
24089,Dan Snyder
24092,Adam Mair
24098,Zac Bierk
24104,Cameron Mann
24107,Shawn Thornton
24124,Jonathan Sim
24125,Trevor Letowski
24144,Rico Fata
24150,Steven Valiquette
24173,Matt Cooke
24460,Jeff Farkas
24461,Mark Parrish
24462,Brian Swanson
24652,Pete Vandermeer
24718,Trent Whitfield
24720,Andrei Markov
24722,Paul Mara
