hockeyRef,name,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so,stats/toughness,stats/dstat,stats/gstat
gaudrfr01,"Gaudreau,Frédérick",MIN,C,6,0,0,0,2,0,0,0,22,34,2,6,8,87,3,6,,,,,,,8,5.9,0
gavrivl01,"Gavrikov,Vladislav",LAK,D,6,0,2,2,-1,0,0,0,0,0,5,10,4,126,1,5,,,,,,,6,12.3,0
geekico01,"Geekie,Conor",TBL,C,4,0,1,2,0,0,0,0,1,1,3,3,8,49,0,1,,,,,,,10,3.633333333,0
girarsa01,"Girard,Samuel",COL,D,7,1,2,0,2,0,0,0,0,0,7,8,9,123,2,7,,,,,,,9,9.15,0
girgeze01,"Girgensons,Zemgus",TBL,C,5,0,0,0,0,0,0,0,2,5,3,0,13,55,0,3,,,,,,,13,-1.166666667,0
giroucl01,"Giroux,Claude",OTT,C,6,1,4,0,3,1,0,0,29,35,7,1,7,105,0,1,,,,,,,7,3.5,0
glassco01,"Glass,Cody",NJD,C,5,0,0,2,-2,0,0,0,27,25,6,4,9,70,1,3,,,,,,,11,4.333333333,0
glendlu01,"Glendening,Luke",TBL,C,5,1,1,0,2,0,0,0,31,27,1,5,13,49,1,1,,,,,,,13,6.633333333,0
goncaga01,"Goncalves,Gage",TBL,C,5,1,3,2,-2,0,0,0,1,0,4,4,15,85,2,7,,,,,,,17,1.833333333,0
gostish01,"Gostisbehere,Shayne",CAR,D,15,3,6,4,-9,1,0,0,0,0,24,16,12,284,4,12,,,,,,,16,22.2,0
gourdya01,"Gourde,Yanni",TBL,C,5,0,1,0,-3,0,0,0,5,7,2,6,9,73,0,5,,,,,,,9,3.433333333,0
granlmi01,"Granlund,Mikael",DAL,C,18,5,5,8,-2,3,0,1,26,22,29,16,42,314,4,9,,,,,,,50,21.46666667,0
greeraj01,"Greer,A.J.",FLA,LW,12,2,1,10,0,0,0,1,4,4,11,7,45,93,2,3,,,,,,,55,9.1,0
greigri01,"Greig,Ridly",OTT,C,6,1,0,8,-1,0,0,0,3,4,9,2,11,108,1,4,,,,,,,19,2.6,0
guentja01,"Guentzel,Jake",TBL,C,5,3,3,6,-3,2,0,0,10,11,16,2,6,114,3,7,,,,,,,12,1.8,0
guhleka01,"Guhle,Kaiden",MTL,D,5,0,0,4,-3,0,0,0,0,0,6,3,15,109,1,7,,,,,,,19,2.45,0
gustada01,"Gustafsson,David",WPG,C,4,1,0,0,0,0,0,0,3,3,3,2,2,29,1,2,,,,,,,2,1.966666667,0
hagelbr01,"Hagel,Brandon",TBL,LW,3,0,0,5,-4,0,0,0,0,1,3,2,5,53,0,2,,,,,,,10,1.766666667,0
hagueni01,"Hague,Nicolas",VEG,D,11,0,2,9,-2,0,0,0,0,0,11,18,22,178,1,7,,,,,,,31,20.9,0
hallta02,"Hall,Taylor",CAR,LW,15,2,4,2,-7,0,0,1,0,6,30,5,19,223,1,12,,,,,,,21,1.433333333,0
hamildo01,"Hamilton,Dougie",NJD,D,5,0,2,6,-3,0,0,0,0,0,10,7,11,125,3,8,,,,,,,17,8.25,0
hanifno01,"Hanifin,Noah",VEG,D,11,1,4,2,1,0,0,0,0,0,26,21,18,254,6,10,,,,,,,20,29.7,0
harleth01,"Harley,Thomas",DAL,D,18,4,10,10,-10,1,0,1,0,0,31,39,22,467,6,34,,,,,,,32,34.35,0
hartmry01,"Hartman,Ryan",MIN,RW,6,2,4,2,1,0,0,0,40,46,18,11,5,105,2,6,,,,,,,7,10.5,0
haulaer01,"Haula,Erik",NJD,LW,5,0,1,2,-1,0,0,0,31,21,9,3,20,93,0,3,,,,,,,22,3.1,0
hedmavi01,"Hedman,Victor",TBL,D,5,0,3,0,-6,0,0,0,0,0,10,6,3,123,1,6,,,,,,,3,7.15,0
heineem01,"Heineman,Emil",MTL,LW,5,1,0,0,1,0,0,0,1,2,4,4,16,45,0,2,,,,,,,16,3.5,0
heiskmi01,"Heiskanen,Miro",DAL,D,8,1,3,0,-4,1,0,0,0,0,14,8,7,175,2,6,,,,,,,7,12.75,0
helensa02,"Helenius,Samuel",LAK,C,6,0,1,0,-1,0,0,0,6,3,1,2,14,24,0,0,,,,,,,14,2.8,0
henriad01,"Henrique,Adam",EDM,C,16,4,2,4,5,0,0,1,114,102,28,23,37,229,1,7,,,,,,,41,24.63333333,0
hertlto01,"Hertl,Tomáš",VEG,C,11,3,2,0,-3,0,0,0,78,83,28,4,35,201,2,0,,,,,,,35,12.7,0
highmma01,"Highmore,Matthew",OTT,LW,1,0,0,4,-1,0,0,0,0,0,1,1,3,9,0,1,,,,,,,7,0.3,0
hinosvi01,"Hinostroza,Vinnie",MIN,C,1,0,0,2,0,0,0,0,0,0,1,1,1,12,0,0,,,,,,,3,1.4,0
hintzro01,"Hintz,Roope",DAL,LW,17,6,6,10,-2,4,0,0,127,128,37,14,14,301,4,17,,,,,,,24,11.03333333,0
hischni01,"Hischier,Nico",NJD,C,5,4,0,0,0,0,0,0,89,75,16,7,11,121,0,4,,,,,,,11,7.033333333,0
holmbpo01,"Holmberg,Pontus",TOR,RW,12,0,1,4,-4,0,0,0,6,6,11,8,15,153,0,3,,,,,,,19,10.1,0
howdebr01,"Howden,Brett",VEG,C,11,3,0,4,-2,1,0,2,23,22,15,7,36,152,3,1,,,,,,,40,14.06666667,0
hughelu01,"Hughes,Luke",NJD,D,1,0,0,0,-1,0,0,0,0,0,2,1,0,22,0,3,,,,,,,0,-0.9,0
hutsola01,"Hutson,Lane",MTL,D,5,0,5,0,-5,0,0,0,0,0,5,2,1,124,1,9,,,,,,,1,0.2,0
hymanza01,"Hyman,Zach",EDM,LW,15,5,6,6,10,0,0,1,0,0,30,7,111,265,4,9,,,,,,,117,10.83333333,0
iafalal01,"Iafallo,Alex",WPG,C,13,1,1,10,-4,0,0,0,2,10,17,9,46,209,2,4,,,,,,,56,13.96666667,0
jankoma01,"Jankowski,Mark",CAR,C,7,0,1,0,0,0,0,0,42,30,6,4,10,81,0,5,,,,,,,10,1.7,0
janmama02,"Janmark,Mattias",EDM,C,16,3,1,12,4,0,0,1,17,48,13,8,16,189,0,10,,,,,,,28,4.3,0
jarnkca01,"Järnkrok,Calle",TOR,C,12,0,1,2,-4,0,0,0,2,4,3,6,22,152,2,3,,,,,,,24,10.06666667,0
jarvise01,"Jarvis,Seth",CAR,C,15,6,10,6,2,2,0,0,6,17,36,13,52,298,2,7,,,,,,,58,17.93333333,0
jenseni02,"Jensen,Nick",OTT,D,6,0,0,2,-1,0,0,0,0,0,3,4,8,126,2,3,,,,,,,10,9.3,0
johanma03,"Johansson,Marcus",MIN,C,5,0,2,0,0,0,0,0,1,2,5,3,8,70,2,1,,,,,,,8,6.333333333,0
johnser01,"Johnson,Erik",COL,D,2,0,0,0,0,0,0,0,0,0,4,2,5,30,2,0,,,,,,,5,5.5,0
johnswy01,"Johnston,Wyatt",DAL,C,18,4,6,6,-16,2,0,1,100,98,36,6,35,349,3,8,,,,,,,41,12.63333333,0
jonesse01,"Jones,Seth",FLA,D,17,3,4,6,9,1,0,1,0,0,20,24,38,425,8,22,,,,,,,44,31.25,0
josepma01,"Joseph,Mathieu",STL,RW,3,1,0,10,1,0,0,0,0,0,6,8,12,41,0,4,,,,,,,22,5.366666667,0
kampfda01,"Kämpf,David",TOR,C,1,0,0,0,-2,0,0,0,4,7,1,0,3,13,0,1,,,,,,,3,-0.566666667,0
kaneev01,"Kane,Evander",EDM,LW,15,5,6,12,5,0,0,0,8,8,38,6,68,240,2,16,,,,,,,80,0,0
kapanka01,"Kapanen,Kasperi",EDM,RW,7,3,0,6,4,0,0,1,1,0,20,4,33,94,1,1,,,,,,,39,7.133333333,0
kapanol01,"Kapanen,Oliver",MTL,C,3,0,1,0,0,0,0,0,8,10,1,0,2,21,0,0,,,,,,,2,0.7,0
kapriki01,"Kaprizov,Kirill",MIN,LW,6,5,4,4,-1,3,0,0,0,0,22,10,6,139,1,7,,,,,,,10,8.633333333,0
karlswi01,"Karlsson,William",VEG,C,11,3,3,0,5,0,1,0,63,57,17,8,2,204,2,5,,,,,,,2,11.8,0
kellypa01,"Kelly,Parker",COL,F,7,0,1,18,4,0,0,0,1,6,6,7,44,88,2,3,,,,,,,62,8.933333333,0
kempead01,"Kempe,Adrian",LAK,LW,6,4,6,4,-8,0,0,0,4,3,21,8,12,130,0,6,,,,,,,16,6.333333333,0
kivirjo01,"Kiviranta,Joel",COL,F,7,0,0,2,0,0,0,0,0,0,9,2,20,71,0,2,,,,,,,22,2.366666667,0
klevety01,"Kleven,Tyler",OTT,D,6,0,2,6,0,0,0,0,0,0,4,8,16,95,1,7,,,,,,,22,6.75,0
klingjo01,"Klingberg,John",EDM,D,15,1,3,2,6,1,0,0,0,0,18,27,23,282,2,15,,,,,,,25,28.1,0
kniesma01,"Knies,Matthew",TOR,LW,13,5,2,6,-4,2,0,1,0,0,29,8,31,257,4,10,,,,,,,37,10.56666667,0
koleske01,"Kolesar,Keegan",VEG,RW,11,0,1,6,-2,0,0,0,1,1,7,5,53,125,4,5,,,,,,,59,8.166666667,0
kopitan01,"Kopitar,Anže",LAK,C,6,2,7,0,-6,1,0,0,80,58,8,6,8,129,3,5,,,,,,,8,8.3,0
korczka01,"Korczak,Kaedan",VEG,D,1,0,0,0,0,0,0,0,0,0,1,1,1,13,0,0,,,,,,,1,1.65,0
kotkaje01,"Kotkaniemi,Jesperi",CAR,C,14,0,4,14,1,0,0,0,63,72,19,9,32,189,1,9,,,,,,,46,7.3,0
kovacjo01,"Kovacevic,Johnathan",NJD,D,3,0,0,2,-1,0,0,0,0,0,2,0,8,42,2,4,,,,,,,10,0.1,0
kucheni01,"Kucherov,Nikita",TBL,RW,5,0,4,2,0,0,0,0,0,0,7,1,5,115,3,12,,,,,,,7,-4.166666667,0
kulakbr01,"Kulak,Brett",EDM,D,16,1,4,8,11,0,0,0,0,0,17,30,13,373,4,19,,,,,,,21,33.65,0
kulikdm01,"Kulikov,Dmitry",FLA,D,17,1,3,12,1,0,0,1,0,0,16,14,61,276,3,18,,,,,,,73,12.8,0
kuzmean01,"Kuzmenko,Andrei",LAK,F,6,3,3,4,-5,3,0,1,0,0,17,3,5,110,0,8,,,,,,,9,-1.333333333,0
kyroujo01,"Kyrou,Jordan",STL,C,7,3,0,0,-4,2,0,0,0,0,18,1,6,123,0,8,,,,,,,6,-2.9,0
laferal01,"Laferriere,Alex",LAK,RW,6,0,3,2,1,0,0,0,1,6,10,4,20,110,1,1,,,,,,,22,7.666666667,0
lainepa01,"Laine,Patrik",MTL,RW,2,0,1,2,-2,0,0,0,0,1,6,1,4,23,0,0,,,,,,,6,1.766666667,0
landega01,"Landeskog,Gabriel",COL,LW,5,1,3,0,4,0,0,0,4,7,10,3,16,86,1,3,,,,,,,16,3.866666667,0
laughsc01,"Laughton,Scott",TOR,C,13,0,2,8,-3,0,0,0,72,54,6,11,41,180,1,8,,,,,,,49,10,0
leddyni01,"Leddy,Nick",STL,D,7,0,1,2,-4,0,0,0,0,0,1,3,6,99,0,5,,,,,,,8,2.95,0
lehkoar01,"Lehkonen,Artturi",COL,LW,7,3,1,4,3,0,0,0,0,0,21,5,16,135,1,5,,,,,,,20,5.5,0
leonary01,"Leonard,Ryan",WSH,RW,8,0,1,2,1,0,0,0,0,1,12,4,11,81,0,5,,,,,,,13,1.7,0
lewistr01,"Lewis,Trevor",LAK,C,2,0,0,0,0,0,0,0,0,0,0,1,5,8,0,0,,,,,,,5,1.266666667,0
lindees01,"Lindell,Esa",DAL,D,18,1,1,4,-3,0,0,0,0,0,18,44,13,423,8,19,,,,,,,17,54.15,0
lindgry01,"Lindgren,Ryan",COL,D,7,0,3,8,5,0,0,0,0,0,8,12,13,130,0,2,,,,,,,21,16.5,0
lorenst01,"Lorentz,Steven",TOR,C,13,0,2,4,-4,0,0,0,7,0,13,11,42,158,1,3,,,,,,,46,14.26666667,0
lowryad01,"Lowry,Adam",WPG,LW,13,4,0,16,2,0,0,1,127,114,24,9,61,227,1,7,,,,,,,77,10.56666667,0
lundean01,"Lundell,Anton",FLA,C,17,5,7,8,12,0,0,1,109,117,34,17,21,271,3,14,,,,,,,29,15.03333333,0
luostee01,"Luostarinen,Eetu",FLA,C,17,4,9,23,11,0,0,0,6,12,19,19,71,248,4,11,,,,,,,94,20.26666667,0
lyubuil01,"Lyubushkin,Ilya",DAL,D,14,0,3,4,-7,0,0,0,0,0,12,15,18,239,1,12,,,,,,,22,15.95,0
mackina01,"MacKinnon,Nathan",COL,C,7,7,4,2,5,3,0,2,77,75,39,2,12,160,3,10,,,,,,,14,0.333333333,0
makarca01,"Makar,Cale",COL,D,7,1,4,2,-1,0,0,0,0,0,26,9,9,188,9,15,,,,,,,11,12.4,0
malinsa01,"Malinski,Sam",COL,D,5,0,1,4,3,0,0,0,0,0,9,4,7,70,0,2,,,,,,,11,5.5,0
malotje01,"Malott ,Jeff",LAK,F,6,0,0,0,-2,0,0,0,0,0,2,6,12,29,1,0,,,,,,,12,7.966666667,0
mangian01,"Mangiapane,Andrew",WSH,LW,10,1,1,14,1,0,0,1,3,5,12,7,15,112,0,4,,,,,,,29,6.733333333,0
