ID,ABBR,RESERVE,NHL
royma04,MIN,R,WSH
scheima01,MIN,R,WPG
schenlu01,MIN,R,BUF
sennebe01,MIN,R,ANA
silovar01,MIN,R,PIT
smithwi01,MIN,R,SJS
stenbot01,MIN,R,STL
stephch02,MIN,R,SEA
thrunhe01,MIN,R,TOR
timmico01,MIN,R,BUF
valimju01,MIN,R,UTA
vasilan02,MIN,R,TBL
cerrach01,MIN,,CAR
deslani01,MIN,,CAR
hertlto01,MIN,,VEG
trikogl01,MIN,,CAR
abolsro01,MTL,R,PHI
beauvan01,MTL,R,WSH
benoisi01,MTL,R,TOR
caufico01,MTL,R,MTL
comrier01,MTL,R,WPG
coutuse01,MTL,R,PHI
dachki01,MTL,R,MTL
danauph01,MTL,R,MTL
eliasga01,MTL,R,OTT
eriksfi01,MTL,R,MTL
fleurha01,MTL,R,WPG
foegewa01,MTL,R,OTT
grebeni01,MTL,R,PHI
gregono01,MTL,R,FLA
grzelma01,MTL,R,CHI
iafalal01,MTL,R,WPG
johanal01,MTL,R,DET
laferal01,MTL,R,LAK
lainepa01,MTL,R,MTL
lohrema01,MTL,R,BOS
mailllo01,MTL,R,STL
marinjo01,MTL,R,UTA
mooretr01,MTL,R,LAK
murrama02,MTL,R,SEA
paupaha01,MTL,R,MTL
pickfbr01,MTL,R,MTL
pitlity01,MTL,R,MIN
sahlile01,MTL,R,SJS
sawchgr01,MTL,R,FLA
schmica01,MTL,R,DAL
soderel01,MTL,R,PIT
tanevbr01,MTL,R,UTA
traffhe01,MTL,R,NJD
slavija01,MTL,,CAR
andermi02,NJD,R,LAK
applema01,NJD,R,DET
bathedr01,NJD,R,OTT
bernaja01,NJD,R,DET
brodijo01,NJD,R,MIN
crousla01,NJD,R,UTA
danfoju01,NJD,R,BUF
duboipi01,NJD,R,WSH
foligma01,NJD,R,MIN
giroucl01,NJD,R,OTT
greavje01,NJD,R,CBJ
gridima01,NJD,R,CGY
kuempda01,NJD,R,LAK
matinni01,NJD,R,OTT
mesarfi01,NJD,R,MTL
montgbl01,NJD,R,OTT
nesbija01,NJD,R,PHI
niedeni01,NJD,R,WPG
norrijo01,NJD,R,BUF
othmabr01,NJD,R,CGY
palaton01,NJD,R,NYI
perroda01,NJD,R,DET
portier01,NJD,R,BUF
provoiv01,NJD,R,CBJ
royjo01,NJD,R,MTL
salomel01,NJD,R,WPG
samanjo01,NJD,R,EDM
seeleni01,NJD,R,PHI
siegejo01,NJD,R,NJD
wennbal01,NJD,R,SJS
yakemca01,NJD,R,OTT
gostish01,NJD,,CAR
jarvise01,NJD,,CAR
anderjo05,NSH,R,MTL
audymjo01,NSH,R,NSH
beanja01,NSH,R,CGY
beaudco01,NSH,R,UTA
cozendy01,NSH,R,OTT
eberljo01,NSH,R,SEA
ekblaaa01,NSH,R,FLA
hayeske01,NSH,R,PIT
haytoba01,NSH,R,UTA
hedmavi01,NSH,R,TBL
hintzro01,NSH,R,DAL
honzesa01,NSH,R,CGY
huberjo01,NSH,R,CGY
jarnkca01,NSH,R,TOR
kaspema01,NSH,R,DET
lindsth01,NSH,R,STL
massema01,NSH,R,ANA
mcquero01,NSH,R,ANA
merceda01,NSH,R,NJD
montobr01,NSH,R,SEA
nestrva01,NSH,R,CHI
orlovdm01,NSH,R,SJS
ostluno01,NSH,R,BUF
parekza01,NSH,R,CGY
perfeco01,NSH,R,WPG
psenima01,NSH,R,UTA
pulkkje01,NSH,R,NYI
rehkoca01,NSH,R,SEA
reinbda01,NSH,R,MTL
saleed01,NSH,R,SEA
schmina01,NSH,R,UTA
silayan01,NSH,R,NJD
tarasvl01,NSH,R,MIN
wedgesc01,NSH,R,COL
frolose01,NSH,,CAR
aitchka01,NYI,R,NYI
askarya01,NYI,R,SJS
barkoal01,NYI,R,FLA
barzama01,NYI,R,NYI
bedarco01,NYI,R,CHI
beechjo01,NYI,R,CGY
blomqjo01,NYI,R,PIT
bolduza01,NYI,R,MTL
chibrni01,NYI,R,WPG
chromma01,NYI,R,LAK
debrial01,NYI,R,DET
delbelu01,NYI,R,CBJ
dobesja01,NYI,R,MTL
evansja02,NYI,R,MTL
fowleja01,NYI,R,MTL
groshma01,NYI,R,TBL
hagemi01,NYI,R,MTL
heineem01,NYI,R,NYI
hutsola01,NYI,R,MTL
jonesca01,NYI,R,PIT
josepma01,NYI,R,STL
konyubo01,NYI,R,MTL
lehkoar01,NYI,R,COL
macleky01,NYI,R,NYI
makarca01,NYI,R,COL
nabokil01,NYI,R,COL
nazarfr01,NYI,R,CHI
prokhda01,NYI,R,NYI
suzukni01,NYI,R,MTL
tuckety01,NYI,R,STL
ryabkiv01,NYI,,CAR
balinuv01,NYR,R,FLA
barloco01,NYR,R,WPG
bensoza01,NYR,R,BUF
bourqma01,NYR,R,DAL
brzushe01,NYR,R,LAK
byfiequ01,NYR,R,LAK
clarkbr02,NYR,R,LAK
cristan01,NYR,R,WSH
dickisa01,NYR,R,SJS
eklunvi01,NYR,R,NYI
gulyami01,NYR,R,COL
heidtri01,NYR,R,MIN
helensa02,NYR,R,LAK
hischni01,NYR,R,NJD
jonesse01,NYR,R,FLA
kokkoni01,NYR,R,SEA
lacomja01,NYR,R,ANA
leonary01,NYR,R,WSH
luneatr01,NYR,R,ANA
martopo01,NYR,R,PHI
oettija01,NYR,R,DAL
pickeow01,NYR,R,PIT
pottecu01,NYR,R,CGY
rinzesa01,NYR,R,CHI
roberja01,NYR,R,DAL
slafkju01,NYR,R,MTL
spencma02,NYR,R,NYR
wothepa01,NYR,R,PIT
zegratr01,NYR,R,PHI
ziemmko01,NYR,R,LAK
zonnobi01,NYR,R,PIT
ahose01,NYR,,CAR
cormilu01,NYR,,VEG
koleske01,NYR,,VEG
stanklo01,NYR,,CAR
bertuty01,OTT,R,CHI
carrial01,OTT,R,MTL
cootebr01,OTT,R,VAN
dadonev01,OTT,R,NJD
debruja01,OTT,R,VAN
evanglu01,OTT,R,NSH
forslgu02,OTT,R,FLA
granshe01,OTT,R,LAK
gustafi01,OTT,R,MIN
hagueni01,OTT,R,NSH
leonajo01,OTT,R,DET
marchma01,OTT,R,CBJ
milleco02,OTT,R,WPG
morrijo04,OTT,R,WPG
nyquigu01,OTT,R,WPG
pettelu01,OTT,R,ANA
poulisa01,OTT,R,PIT
roberma02,OTT,R,NYR
rossima01,OTT,R,VAN
samsoil01,OTT,R,WSH
schwico01,OTT,R,FLA
sebrado01,OTT,R,FLA
soucyca01,OTT,R,NYI
stastsp01,OTT,R,EDM
steeval02,OTT,R,BOS
svechfe01,OTT,R,NSH
vatrafr01,OTT,R,ANA
verhaca01,OTT,R,FLA
wangsi01,OTT,R,SJS
zaryco01,OTT,R,CGY
svechan01,OTT,,CAR
bluegte01,PHI,R,VAN
blumema01,PHI,R,BOS
bumpal01,PHI,R,PHI
cowanea01,PHI,R,TOR
durzise01,PHI,R,UTA
fiskeos01,PHI,R,SEA
gillsp01,PHI,R,PHI
goncaga01,PHI,R,TBL
hallist01,PHI,R,OTT
hameele01,PHI,R,NJD
hryckju01,PHI,R,DAL
kadrina01,PHI,R,COL
lachash01,PHI,R,NJD
landega01,PHI,R,COL
luchaje01,PHI,R,PHI
lundean01,PHI,R,FLA
lundkni01,PHI,R,DAL
martiem01,PHI,R,TBL
miromda01,PHI,R,CGY
peterjo01,PHI,R,UTA
raddyta01,PHI,R,NYR
seguity01,PHI,R,DAL
spurgja01,PHI,R,MIN
surineg01,PHI,R,NSH
ullmali01,PHI,R,OTT
vansash01,PHI,R,PHI
vladada01,PHI,R,PHI
walmaja01,PHI,R,EDM
yorkca01,PHI,R,PHI
zavraeg01,PHI,R,PHI
zubar01,PHI,R,OTT
chatfja01,PHI,,CAR
eicheja01,PHI,,VEG
staaljo01,PHI,,CAR
brindga01,PIT,R,COL
chernig01,PIT,R,SJS
commedr01,PIT,R,CHI
danfobe01,PIT,R,TOR
demidiv01,PIT,R,MTL
dragilu01,PIT,R,SEA
eiserco01,PIT,R,NYI
emeryer01,PIT,R,NYR
fabbrda01,PIT,R,CBJ
foersty01,PIT,R,PHI
greenry01,PIT,R,CHI
greigri01,PIT,R,OTT
hagenja01,PIT,R,BOS
halttka01,PIT,R,SJS
howaris01,PIT,R,EDM
hutsoco01,PIT,R,WSH
jiricad01,PIT,R,STL
lambebr01,PIT,R,WPG
meyerbe01,PIT,R,SEA
mustyqu01,PIT,R,SJS
necasma01,PIT,R,COL
nemecsi01,PIT,R,NJD
obrieja02,PIT,R,SEA
schaema01,PIT,R,NYI
simasdm01,PIT,R,UTA
stramch01,PIT,R,MIN
tkachma01,PIT,R,FLA
tolvaee01,PIT,R,SEA
tomasph01,PIT,R,PIT
woodma01,PIT,R,NSH
hartca01,PIT,,VEG
lauzoje01,PIT,,VEG
lindbca01,PIT,,VEG
brobeph01,SEA,R,STL
buchedm01,SEA,R,STL
cossase01,SEA,R,DET
daniena01,SEA,R,DET
delmaet01,SEA,R,CHI
dobsono01,SEA,R,MTL
eklunwi01,SEA,R,SJS
epperkr01,SEA,R,LAK
fabbrro01,SEA,R,MIN
fiddlbl01,SEA,R,SEA
gastrmi01,SEA,R,WSH
hallqth01,SEA,R,MIN
johnske01,SEA,R,CBJ
kahkoka01,SEA,R,MIN
kellecl01,SEA,R,UTA
konectr01,SEA,R,PHI
korchke01,SEA,R,CHI
leery01,SEA,R,NSH
mustajo01,SEA,R,CHI
nedelal01,SEA,R,SJS
neighja01,SEA,R,STL
ohgreli01,SEA,R,VAN
pelleja01,SEA,R,TBL
romanal01,SEA,R,NYI
rooneke01,SEA,R,UTA
sambedy01,SEA,R,WPG
smithbr05,SEA,R,CBJ
smithta01,SEA,R,ANA
snuggji01,SEA,R,STL
sodervi01,SEA,R,BOS
strubja01,SEA,R,MTL
swaymje01,SEA,R,BOS
thomaro01,SEA,R,STL
woodmi01,SEA,R,CBJ
allanno01,SJS,R,CHI
amadimi01,SJS,R,OTT
bashaan01,SJS,R,CGY
bouchev01,SJS,R,EDM
capobky01,SJS,R,DAL
dewarco01,SJS,R,PIT
drysdja01,SJS,R,PHI
dunnvi02,SJS,R,SEA
georgis01,SJS,R,NYI
gibsojo02,SJS,R,DET
goodrba01,SJS,R,SJS
grafco01,SJS,R,SJS
harkija01,SJS,R,ANA
huntda01,SJS,R,MIN
jennebo01,SJS,R,CBJ
kartyty01,SJS,R,NYR
kempead01,SJS,R,LAK
killoal01,SJS,R,ANA
kivirjo01,SJS,R,COL
lafreal01,SJS,R,NYR
lakovly01,SJS,R,WSH
mateyde01,SJS,R,CBJ
montesa01,SJS,R,MTL
moverja01,SJS,R,LAK
reavery01,SJS,R,SJS
regenpa01,SJS,R,SJS
rittida01,SJS,R,NYI
sarosju01,SJS,R,NSH
vanrija01,SJS,R,DET
velenjo01,SJS,R,MTL
villena01,SJS,R,SEA
weegama01,SJS,R,UTA
zachapa01,SJS,R,BOS
zellwol01,SJS,R,ANA
ehlerni01,SJS,,CAR
bennja01,STL,R,DAL
berggjo02,STL,R,STL
boldyma01,STL,R,MIN
brattje01,STL,R,NJD
cagnolu01,STL,R,SJS
carboju01,STL,R,STL
erssosa01,STL,R,PHI
evansry01,STL,R,SEA
feherma01,STL,R,WSH
geekimo01,STL,R,BOS
helenko01,STL,R,BUF
johnsry03,STL,R,BUF
kakkoka01,STL,R,SEA
kevanbe01,STL,R,NJD
klebead01,STL,R,BUF
kyrouch01,STL,R,DAL
leinoto02,STL,R,BUF
mahurjo01,STL,R,SEA
marqumi01,STL,R,NSH
meierti01,STL,R,NJD
mintypa01,STL,R,ANA
mitteca01,STL,R,BOS
mooreol01,STL,R,CHI
nilsoer01,STL,R,ANA
peekean01,STL,R,BOS
petroal01,STL,R,DAL
priceca02,STL,R,SEA
reichlu01,STL,R,BOS
robersi01,STL,R,STL
rosenis01,STL,R,WPG
schmani01,STL,R,UTA
sergami01,STL,R,UTA
stigate01,STL,R,NSH
tarasda02,STL,R,FLA
zettefa01,STL,R,OTT
mcnabbr01,STL,,VEG
bedkoda01,TBL,R,BUF
burnsbr01,TBL,R,COL
carcomi01,TBL,R,UTA
chrisja01,TBL,R,CBJ
colembl01,TBL,R,CGY
deangan01,TBL,R,NYI
ferrama01,TBL,R,SJS
gaudead01,TBL,R,SJS
gaudrfr01,TBL,R,SEA
georgca01,TBL,R,LAK
girgeze01,TBL,R,TBL
hartmry01,TBL,R,MIN
holmbpo01,TBL,R,TBL
jeannta01,TBL,R,BOS
kessema01,TBL,R,STL
laffesa01,TBL,R,CHI
lamboca01,TBL,R,MIN
luukkuk01,TBL,R,BUF
lyonal01,TBL,R,BUF
malenbe01,TBL,R,BUF
martisp01,TBL,R,NYR
pastrda01,TBL,R,BOS
pelecad01,TBL,R,NYI
perbini01,TBL,R,NSH
prishni01,TBL,R,COL
quinnja01,TBL,R,BUF
ravenjo01,TBL,R,SJS
rustbr01,TBL,R,PIT
stanllo01,TBL,R,BUF
thompta01,TBL,R,BUF
tuchal01,TBL,R,BUF
wahlban01,TBL,R,BUF
whiteza01,TBL,R,CGY
armiajo01,TOR,R,LAK
backlmi01,TOR,R,CGY
bahlke01,TOR,R,CGY
bainsar01,TOR,R,VAN
bearet01,TOR,R,---
bobrose01,TOR,R,FLA
chadwno01,TOR,R,TOR
colansa01,TOR,R,ANA
deshavi01,TOR,R,SJS
domima01,TOR,R,TOR
ekmanol01,TOR,R,TOR
groulbe01,TOR,R,TOR
hinosvi01,TOR,R,FLA
hollju01,TOR,R,STL
jenseni02,TOR,R,OTT
kaliyar01,TOR,R,OTT
karlsli01,TOR,R,VAN
kniesma01,TOR,R,TOR
kovalni01,TOR,R,COL
kuzneya01,TOR,R,CGY
lankike01,TOR,R,VAN
lowryad01,TOR,R,WPG
maccema01,TOR,R,TOR
mccabja01,TOR,R,TOR
mcmanbo02,TOR,R,SEA
nylanwi01,TOR,R,TOR
obrieli01,TOR,R,UTA
paterji01,TOR,R,VAN
pezzemi01,TOR,R,TOR
roberni01,TOR,R,TOR
sharaye01,TOR,R,CGY
stechtr01,TOR,R,TOR
sunieay01,TOR,R,CGY
bastina01,UTA,R,DAL
binnijo01,UTA,R,STL
blankni01,UTA,R,COL
butda01,UTA,R,UTA
